met	KEGG
12ppd_S[e]	C02917
12ppd_S[c]	C02917
23dhmp[c]	NA
nadp[c]	C00006
3h3mop[c]	NA
h[c]	C00282
nadph[c]	C00005
h2o[c]	C00001
23cump[c]	C02355
3ump[c]	C01368
23ccmp[c]	NA
3cmp[c]	NA
23camp[c]	NA
3amp[c]	C01367
23cgmp[c]	NA
3gmp[c]	NA
2ahbut[c]	NA
pyr[c]	C00022
2h3oppan[c]	NA
2dh3dglc[c]	NA
2mbcoa[c]	C01033
ACP[c]	NA
coa[c]	C00010
2mbutACP[c]	NA
o2[c]	C00007
2ommb[c]	NA
ocmhmxbq[c]	NA
2omph[c]	NA
2ombz[c]	NA
lpam[c]	C00248
HC01435[c]	C05381
thmpp[c]	C00068
HC00695[c]	C01169
3dhguln[c]	C00618
23doguln[c]	C04575
3hgACPm[c]	NA
egACPm[c]	NA
3hpACPm[c]	NA
epACPm[c]	NA
3hdecACP[c]	NA
tdec2eACP[c]	NA
10m3hundecACP[c]	NA
10mtundec2eACP[c]	NA
10m3hddcaACP[c]	NA
10mtddec2eACP[c]	NA
11m3hddcaACP[c]	NA
11mtddec2eACP[c]	NA
3hddecACP[c]	NA
tddec2eACP[c]	NA
12m3htridecACP[c]	NA
12mttritec2eACP[c]	NA
12m3hmyrsACP[c]	NA
12mtmrs2eACP[c]	NA
13m3hmyrsACP[c]	NA
13mtmrs2eACP[c]	NA
3hmrsACP[c]	NA
tmrs2eACP[c]	NA
14m3hpentdecACP[c]	NA
14mtpentdec2eACP[c]	NA
14m3hpalmACP[c]	NA
14mtpalm2eACP[c]	NA
15m3hpalmACP[c]	NA
15mtpalm2eACP[c]	NA
3hpalmACP[c]	NA
tpalm2eACP[c]	NA
3hoctaACP[c]	NA
toctd2eACP[c]	NA
3haACP[c]	NA
but2eACP[c]	NA
4m3hpentACP[c]	NA
4mtpent2eACP[c]	NA
4m3hhexACP[c]	NA
4mthex2eACP[c]	NA
5m3hhexACP[c]	NA
5mthex2eACP[c]	NA
3hhexACP[c]	NA
thex2eACP[c]	NA
6m3hheptACP[c]	NA
6mthept2eACP[c]	NA
6m3hocACP[c]	NA
6mtoct2eACP[c]	NA
7m3hocACP[c]	NA
7mtoct2eACP[c]	NA
3hoctACP[c]	NA
toct2eACP[c]	NA
8m3hdcaACP[c]	NA
8mtdec2eACP[c]	NA
8m3hnonACP[c]	NA
8mtnon2eACP[c]	NA
9m3hdcaACP[c]	NA
9mtdec2eACP[c]	NA
3hbcoa[c]	C03561
3hbcoa_R[c]	C03561
3hcinnm[c]	NA
nadh[c]	C00004
dhcinnm[c]	NA
nad[c]	C00003
3hpppn[c]	NA
dhpppn[c]	NA
3c3hmp[c]	NA
accoa[c]	C00024
3mob[c]	C00141
3ogACPm[c]	NA
3opACPm[c]	NA
3odecACP[c]	NA
10m3oundecACP[c]	NA
10m3oddcaACP[c]	NA
11m3oddcaACP[c]	NA
3oddecACP[c]	NA
12m3otridecACP[c]	NA
12m3omyrsACP[c]	NA
13m3omyrsACP[c]	NA
3omrsACP[c]	NA
14m3opentdecACP[c]	NA
14m3opalmACP[c]	NA
15m3opalmACP[c]	NA
3opalmACP[c]	NA
3ooctdACP[c]	NA
actACP[c]	NA
4m3opentACP[c]	NA
4m3ohexACP[c]	NA
5m3ohexACP[c]	NA
3ohexACP[c]	NA
6m3oheptACP[c]	NA
6m3oocACP[c]	NA
7m3oocACP[c]	NA
3ooctACP[c]	NA
8m3odcaACP[c]	NA
8m3ononACP[c]	NA
9m3odcaACP[c]	NA
malACP[c]	NA
ocACP[c]	NA
co2[c]	C00011
10mundecACP[c]	NA
10mddcaACP[c]	NA
11mddcaACP[c]	NA
dcaACP[c]	NA
12mtridecACP[c]	NA
12mmyrsACP[c]	NA
13mmyrsACP[c]	NA
ddcaACP[c]	NA
myrsACP[c]	NA
palmACP[c]	NA
2mpropACP[c]	NA
3mbutACP[c]	NA
4mpentACP[c]	NA
4mhexACP[c]	NA
5mhexACP[c]	NA
butACP[c]	NA
6mheptACP[c]	NA
6mocACP[c]	NA
7mocACP[c]	NA
hexACP[c]	NA
8mdcaACP[c]	NA
8mnonACP[c]	NA
9mdcaACP[c]	NA
oxadpcoa[c]	C02232
succoa[c]	C00091
h[e]	C00282
4hbz[e]	C00156
4hbz[c]	C00156
4hoxpacd[e]	C03765
4hoxpacd[c]	C03765
phthr[c]	NA
4hthr[c]	NA
pi[c]	C00009
HC01104[c]	C03360
pnp[c]	NA
5aizc[c]	C04751
air[c]	C03373
5dglcn[c]	NA
glcn[c]	C00257
dad_5[c]	C05198
5drib[c]	NA
ade[c]	C00147
glu_L[c]	C00025
HC00955[c]	C02512
HC01577[c]	C05711
HC01700[c]	C06114
ahcys[c]	C00021
5mthglu[c]	NA
amet[c]	C00019
thglu[c]	NA
salc6p[c]	C06188
2hymeph[c]	C06191
g6p[c]	C00092
g6p_B[c]	C01172
cholate[c]	C00695
7ocholate[c]	C04643
cholate[e]	C00695
7ocholate[e]	C04643
ru5p_D[c]	C00199
ara5p[c]	NA
atp[c]	C00002
ddca[c]	C02679
amp[c]	C00020
ppi[c]	C00013
aact[c]	C01888
h2o2[c]	C00027
nh4[c]	C00014
mthgxl[c]	C00546
L2aadp6sa[c]	C04076
thp2c[c]	NA
arbt6p[c]	NA
hqn[c]	NA
4abut[c]	C00334
akg[c]	C00026
sucsal[c]	C00232
4abutn[c]	C00555
4abut[e]	C00334
ac[c]	C00033
aacoa[c]	C00332
acac[c]	C00164
btcoa[c]	C00136
3ohcoa[c]	NA
hxcoa[c]	NA
3oocoa[c]	NA
occoa[c]	C01944
3odcoa[c]	C05265
dcacoa[c]	C05274
3oddcoa[c]	C05263
ddcacoa[c]	C01832
3otdcoa[c]	C05261
tdcoa[c]	C02593
3ohdcoa[c]	C05259
acac[e]	C00164
acald[c]	C00084
acald[e]	C00084
adocbip[c]	NA
gtp[c]	C00044
agdpcbi[c]	NA
hco3[c]	C00288
adp[c]	C00008
malcoa[c]	C00083
btn_co2[c]	NA
apoC_Lys_btn[c]	NA
ppa[c]	C00163
ppcoa[c]	C00100
acgal[c]	C01132
acgal6p[c]	NA
acgal[e]	C01132
uacgam[c]	C00043
udcpp[c]	NA
ump[c]	C00105
unaga[c]	NA
acgam[e]	C00140
pep[c]	C00074
acgam6p[c]	C00357
acglu[c]	C00624
acg5p[c]	C04133
hethmpp[c]	NA
2obut[c]	C00109
actp[c]	NA
alac_S[c]	NA
acnam[e]	C19910
acnam[c]	C19910
acmana[c]	C00645
1tdecg3p[c]	NA
pa140[c]	NA
pmtcoa[c]	C00154
1hdecg3p[c]	NA
pa160[c]	NA
stcoa[c]	C00412
1odecg3p[c]	NA
pa180[c]	NA
1aipdecg3p[c]	NA
aipdcoa[c]	NA
paai15[c]	NA
1aihpdecg3p[c]	NA
aihpdcoa[c]	NA
paai17[c]	NA
itdcoa[c]	NA
1itdecg3p[c]	NA
pai14[c]	NA
ipdcoa[c]	NA
1ipdecg3p[c]	NA
pai15[c]	NA
ihdcoa[c]	NA
1ihdecg3p[c]	NA
pai16[c]	NA
ihpdcoa[c]	NA
1ihpdecg3p[c]	NA
pai17[c]	NA
b2coa[c]	C00877
fad[c]	C00016
fadh2[c]	C01352
hx2coa[c]	C05271
2mb2coa[c]	C03345
oc2coa[c]	NA
dc2coa[c]	C05275
dd2coa[c]	C03221
td2coa[c]	NA
hdd2coa[c]	C05272
acACP[c]	NA
cbp[c]	C00169
acorn[c]	C00437
Naccitr_L[c]	NA
orn[c]	C00077
acon_T[c]	NA
aconm[c]	NA
cit[c]	C00158
icit[c]	C00311
acon_C[c]	NA
acg5sa[c]	C01250
apoACP[c]	NA
pap[c]	C00054
pan4p[c]	C01134
13dpg[c]	C00236
3pg[c]	C00597
ac[e]	C00033
adn[c]	C00212
ins[c]	C00294
4adcho[c]	NA
4abz[c]	NA
chor[c]	NA
gln_L[c]	C00064
hxan[c]	C00262
dttp[c]	C00459
dtdp[c]	C00363
dutp[c]	C00460
dudp[c]	C01346
pppi[c]	C00536
gdp[c]	C00035
ctp[c]	C00063
cdp[c]	C00112
datp[c]	C00131
dadp[c]	C00206
dctp[c]	C00458
dcdp[c]	C00705
dgtp[c]	C00286
dgdp[c]	C00361
ametam[c]	C01137
adn[e]	C00212
camp[c]	C00575
rib_D[c]	C00121
adocbi[c]	NA
rdmbzi[c]	NA
adocbl[c]	C00194
gmp[c]	C00144
adocbl[e]	C00194
adprib[c]	C00301
r5p[c]	C03736
prpp[c]	C00119
adsel[c]	C05686
3padsel[c]	C05696
aps[c]	C00224
paps[c]	C00053
dcamp[c]	C03794
fum[c]	C00122
25aics[c]	C04823
aicar[c]	C04677
asp_L[c]	C00049
imp[c]	C00130
gam6p[c]	C00352
galam6p[c]	NA
adphep_DD[c]	NA
adphep_LD[c]	NA
agm[c]	C00179
ptrc[c]	C00134
urea[c]	C00086
1ddecg3p[c]	NA
pa120[c]	NA
1tdec7eg3p[c]	NA
tdeACP[c]	NA
pa141[c]	NA
1hdec9eg3p[c]	NA
hdeACP[c]	NA
pa161[c]	NA
ocdcaACP[c]	NA
1odec11eg3p[c]	NA
octeACP[c]	NA
pa181[c]	NA
rhcys[c]	NA
4ahmmp[c]	NA
gcald[c]	C00266
10fthf[c]	C00234
fprica[c]	C04734
thf[c]	C00101
14mpalmACP[c]	NA
akg[e]	C00026
ahdt[c]	C04895
dhnpt[c]	NA
ala_D[c]	C00133
alaala[c]	C00993
alaasp[c]	NA
ala_L[c]	C00041
alaasp[e]	NA
33hmeoxobut[c]	NA
alagln[c]	NA
alagln[e]	NA
alaglu[c]	NA
alaglu[e]	NA
alagly[c]	NA
gly[c]	C00037
alagly[e]	NA
alahis[c]	C00386
his_L[c]	C00135
alahis[e]	C00386
alaleu[c]	NA
leu_L[c]	C00123
alaleu[e]	NA
alathr[c]	NA
thr_L[c]	C00188
alathr[e]	NA
ala_L[e]	C00041
meoh[c]	C00132
fald[c]	C00067
glyald[c]	C02154
glyc[c]	C00116
etoh[c]	C00469
for[c]	C00058
dhap[c]	C00111
dha[c]	C00184
alltt[c]	C00499
urdgly[c]	C02091
alltn[c]	C01551
5hxudidzcba[c]	NA
alltn_R[c]	NA
alltn[e]	C01551
allphn[c]	C01010
altrn[c]	NA
2ddglcn[c]	NA
malt[c]	C00208
malttr[c]	C01835
glc_D[c]	C00031
maltttr[c]	C02052
maltpt[c]	NA
malthx[c]	C01936
malthp[c]	NA
acmanap[c]	C04257
8aonn[c]	NA
amob[c]	NA
dann[c]	NA
2dmmq8[c]	NA
mqn8[c]	C00828
amopbut_L[c]	C07335
3a2opp[c]	NA
4ampm[c]	NA
cgly[c]	C01419
cys_L[c]	C00097
glycys[c]	NA
anth[c]	C00108
pran[c]	NA
2aobut[c]	C03508
6a2ohxnt[c]	C03239
1pipdn2c[c]	C04092
pmcoa[c]	NA
pmACP[c]	NA
ap4a[c]	C01260
5apru[c]	NA
5aprbu[c]	NA
mql8[c]	NA
so3[c]	C00094
5aptn[c]	C00431  
oxptn[c]	C03273
arab_L[c]	C00259
rbl_L[c]	NA
arbt[e]	C06186
arab_L[e]	C00259
arg_L[c]	C00062
argsuc[c]	C03406
citr_L[c]	C00327
arg_L[e]	C00062
aspsa[c]	NA
4pasp[c]	NA
ascb6p[c]	NA
3dhgulnp[c]	NA
asn_L[c]	C00152
asn_L[e]	C00152
aso3[e]	NA
aso3[c]	NA
aso4[e]	NA
aso4[c]	NA
ala_B[c]	C00099
cbasp[c]	C00438
oaa[c]	C00036
iasp[c]	NA
succ[c]	C00042
fmn[c]	C00061
fmnh2[c]	NA
asp_L[e]	C00049
sucarg[c]	NA
prbatp[c]	NA
btamp[c]	C05921
btn[c]	C00120
bbtcoa[c]	NA
ctbtcoa[c]	NA
bhb[c]	C01089
betald[c]	C00576
glyb[c]	C00719
6pgg[c]	C04534
cellb[c]	NA
glc_bD[c]	NA
btnso[c]	NA
btn[e]	C00120
dtbt[c]	NA
s[c]	NA
met_L[c]	C00073
but[c]	C00246
butso3[e]	NA
butso3[c]	NA
but[e]	C00246
15dap[c]	NA
lys_L[e]	C00047
15dap[e]	NA
lys_L[c]	C00047
ca2[e]	C00076
ca2[c]	C00076
cbi[c]	NA
cbl1[e]	C00853
cbl1[c]	C00853
cbl2[e]	C00541
cbl2[c]	C00541
