Rxn	KO	Reac	Prod	Path	ReacProd	stoichReac	stoichProd
R00005	K01457	C00011	C01010	01120	C01010 <=> C00011	2	1
R00005	K01457	C01010	C00011	00220	C01010 => C00011	1	2
R00005	K01457	C01010	C00011	00791	C01010 => C00011	1	2
R00005	K01457	C01010	C00011	01120	C01010 <=> C00011	1	2
R00005	K14541	C00011	C01010	01120	C01010 <=> C00011	2	1
R00005	K14541	C01010	C00011	00220	C01010 => C00011	1	2
R00005	K14541	C01010	C00011	00791	C01010 => C00011	1	2
R00005	K14541	C01010	C00011	01120	C01010 <=> C00011	1	2
R00006	K01652	C00022	C00900	00770	C00022 => C00900	2	1
R00006	K01653	C00022	C00900	00770	C00022 => C00900	2	1
R00006	K11258	C00022	C00900	00770	C00022 => C00900	2	1
R00008	K10218	C00022	C06033	00660	C00022 => C06033	2	1
R00008	K10218	C00022	C06033	01120	C06033 <=> C00022	2	1
R00008	K10218	C06033	C00022	00362	C06033 => C00022	1	2
R00008	K10218	C06033	C00022	01120	C06033 <=> C00022	1	2
R00009	K03781	C00007	C00027	01110	C00027 <=> C00007	1	2
R00009	K03781	C00007	C00027	01130	C00027 <=> C00007	1	2
R00009	K03781	C00027	C00007	00630	C00027 => C00007	2	1
R00009	K03781	C00027	C00007	01110	C00027 <=> C00007	2	1
R00009	K03781	C00027	C00007	01130	C00027 <=> C00007	2	1
R00010	K01194	C01083	C00031	00500	C01083 => C00031	1	2
R00013	K01608	C00048	C01146	00630	C00048 => C01146	2	1
R00014	K00161	C00022	C05125	00010	C00022 + C00068 => C05125	1	1
R00014	K00161	C00022	C05125	00020	C00068 + C00022 => C05125	1	1
R00014	K00161	C00022	C05125	00620	C00068 + C00022 => C05125	1	1
R00014	K00161	C00022	C05125	01110	C00022 <=> C05125	1	1
R00014	K00161	C00068	C05125	00010	C00022 + C00068 => C05125	1	1
R00014	K00161	C00068	C05125	00020	C00068 + C00022 => C05125	1	1
R00014	K00161	C00068	C05125	00620	C00068 + C00022 => C05125	1	1
R00014	K00161	C05125	C00022	01110	C00022 <=> C05125	1	1
R00014	K00162	C00022	C05125	00010	C00022 + C00068 => C05125	1	1
R00014	K00162	C00022	C05125	00020	C00068 + C00022 => C05125	1	1
R00014	K00162	C00022	C05125	00620	C00068 + C00022 => C05125	1	1
R00014	K00162	C00022	C05125	01110	C00022 <=> C05125	1	1
R00014	K00162	C00068	C05125	00010	C00022 + C00068 => C05125	1	1
R00014	K00162	C00068	C05125	00020	C00068 + C00022 => C05125	1	1
R00014	K00162	C00068	C05125	00620	C00068 + C00022 => C05125	1	1
R00014	K00162	C05125	C00022	01110	C00022 <=> C05125	1	1
R00014	K00163	C00022	C05125	00010	C00022 + C00068 => C05125	1	1
R00014	K00163	C00022	C05125	00020	C00068 + C00022 => C05125	1	1
R00014	K00163	C00022	C05125	00620	C00068 + C00022 => C05125	1	1
R00014	K00163	C00022	C05125	01110	C00022 <=> C05125	1	1
R00014	K00163	C00068	C05125	00010	C00022 + C00068 => C05125	1	1
R00014	K00163	C00068	C05125	00020	C00068 + C00022 => C05125	1	1
R00014	K00163	C00068	C05125	00620	C00068 + C00022 => C05125	1	1
R00014	K00163	C05125	C00022	01110	C00022 <=> C05125	1	1
R00014	K01568	C00022	C05125	00010	C00022 + C00068 => C05125	1	1
R00014	K01568	C00022	C05125	00020	C00068 + C00022 => C05125	1	1
R00014	K01568	C00022	C05125	00620	C00068 + C00022 => C05125	1	1
R00014	K01568	C00022	C05125	01110	C00022 <=> C05125	1	1
R00014	K01568	C00068	C05125	00010	C00022 + C00068 => C05125	1	1
R00014	K01568	C00068	C05125	00020	C00068 + C00022 => C05125	1	1
R00014	K01568	C00068	C05125	00620	C00068 + C00022 => C05125	1	1
R00014	K01568	C05125	C00022	01110	C00022 <=> C05125	1	1
