ModelAGORA	Organism	CopyNum
Abiotrophia_defectiva_ATCC_49176	Abiotrophia defectiva ATCC 49176	2
Achromobacter_xylosoxidans_A8	Achromobacter xylosoxidans A8	3
Achromobacter_xylosoxidans_NBRC_15126	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061	1
Acidaminococcus_fermentans_DSM_20731	Acidaminococcus fermentans DSM 20731	6
Acidaminococcus_intestini_RyC_MR95	Acidaminococcus intestini RyC-MR95	3
Acidaminococcus_sp_D21	Acidaminococcus sp. D21	1
Acinetobacter_baumannii_AB0057	Acinetobacter baumannii AB0057	6
Acinetobacter_calcoaceticus_PHEA_2	Acinetobacter calcoaceticus PHEA-2	2
Acinetobacter_haemolyticus_NIPH_261	Acinetobacter haemolyticus NIPH 261	3
Acinetobacter_johnsonii_SH046	Acinetobacter johnsonii SH046	1
Acinetobacter_junii_SH205	Acinetobacter junii SH205	1
Acinetobacter_lwoffii_WJ10621	Acinetobacter lwoffii WJ10621	5
Acinetobacter_pittii_ANC_4052	Acinetobacter pittii ANC 4052	6
Acinetobacter_radioresistens_NIPH_2130	Acinetobacter radioresistens NIPH 2130	5
Actinobacillus_pleuropneumoniae_L20	Actinobacillus pleuropneumoniae L20	3
Actinomyces_cardiffensis_F0333	Actinomyces cardiffensis F0333	1
Actinomyces_georgiae_DSM_6843	Actinomyces georgiae  DSM 6843	4
Actinomyces_graevenitzii_C83	Actinomyces graevenitzii  C83	4
Actinomyces_naeslundii_str_Howell_279	Actinomyces naeslundii str. Howell 279	3
Actinomyces_odontolyticus_ATCC_17982	Actinomyces odontolyticus ATCC 17982	2
Actinomyces_oris_K20	Actinomyces oris K20	1
Actinomyces_turicensis_ACS_279_V_Col4	Actinomyces turicensis ACS-279-V-Col4	4
Actinomyces_urogenitalis_DSM_15434	Actinomyces urogenitalis DSM 15434	1
Actinomyces_viscosus_C505	Actinomyces viscosus  C505	3
Adlercreutzia_equolifaciens_DSM_19450	Adlercreutzia equolifaciens DSM 19450	2
Aerococcus_viridans_ATCC_11563	Aerococcus viridans ATCC 11563	1
Aeromonas_caviae_Ae398	Aeromonas caviae Ae398	2
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	Aeromonas hydrophila subsp. hydrophila ATCC 7966	10
Aeromonas_jandaei_Riv2	Aeromonas jandaei Riv2	1
Aeromonas_media_WS	Aeromonas media WS	11
Aeromonas_veronii_B565	Aeromonas veronii B565	10
Afipia_birgiae_34632	Afipia birgiae 34632	1
Aggregatibacter_aphrophilus_NJ8700	Aggregatibacter aphrophilus NJ8700	6
Agrobacterium_tumefaciens_F2	Agrobacterium tumefaciens F2	4
Akkermansia_muciniphila_ATCC_BAA_835	Akkermansia muciniphila ATCC BAA-835	3
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111	Alcaligenes faecalis subsp. faecalis NBRC 13111	1
Alcaligenes_faecalis_subsp_faecalis_NCIB_8687	Alcaligenes faecalis subsp. faecalis NCIB 8687	1
Alistipes_finegoldii_DSM_17242	Alistipes finegoldii DSM 17242	2
Alistipes_indistinctus_YIT_12060	Alistipes indistinctus YIT 12060	2
Alistipes_onderdonkii_DSM_19147	Alistipes onderdonkii DSM 19147	2
Alistipes_putredinis_DSM_17216	Alistipes putredinis DSM 17216	2
Alistipes_shahii_WAL_8301	Alistipes shahii WAL 8301	1
Alloprevotella_tannerae_ATCC_51259	Alloprevotella tannerae ATCC 51259	1
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850	Anaerobaculum hydrogeniformans OS1, ATCC BAA-1850	2
Anaerobiospirillum_succiniciproducens_DSM_640001	Anaerobiospirillum succiniciproducens DSM 640001	5
Anaerococcus_hydrogenalis_DSM_7454	Anaerococcus hydrogenalis DSM 7454	5
Anaerococcus_prevotii_DSM_20548	Anaerococcus prevotii DSM 20548	4
Anaerococcus_vaginalis_ATCC_51170	Anaerococcus vaginalis ATCC 51170	1
Anaerofustis_stercorihominis_DSM_17244	Anaerofustis stercorihominis DSM 17244	2
Anaerostipes_caccae_DSM_14662	Anaerostipes caccae DSM 14662	4
Anaerostipes_hadrus_DSM_3319	Anaerostipes hadrus DSM 3319	2
Anaerostipes_sp_3_2_56FAA	Anaerostipes sp. 3_2_56FAA	4
Anaerotruncus_colihominis_DSM_17241	Anaerotruncus colihominis DSM 17241	4
Aneurinibacillus_aneurinilyticus_ATCC_12856	Aneurinibacillus aneurinilyticus ATCC 12856	1
Arcanobacterium_haemolyticum_DSM_20595	Arcanobacterium haemolyticum DSM 20595	4
Arcobacter_butzleri_RM4018	Arcobacter butzleri RM4018	5
Arthrobacter_castelli_DSM_16402	Arthrobacter castelli DSM 16402	2
Atopobium_minutum_10063974	Atopobium minutum 10063974	2
Atopobium_parvulum_DSM_20469	Atopobium parvulum DSM 20469	1
Atopobium_rimae_ATCC_49626	Atopobium rimae ATCC 49626	1
Bacillus_altitudinis_41KF2b	Bacillus altitudinis 41KF2b	1
Bacillus_amyloliquefaciens_DSM7	Bacillus amyloliquefaciens DSM7	NA
Bacillus_amyloliquefaciens_subsp_amyloliquefaciens_DC_12	Bacillus amyloliquefaciens subsp. amyloliquefaciens DC-12	NA
Bacillus_atrophaeus_ATCC_49822_1	Bacillus atrophaeus ATCC 49822-1	1
Bacillus_cereus_AH187_F4810_72	Bacillus cereus AH187 (F4810/72)	14
Bacillus_cereus_G9842	Bacillus cereus G9842	13
Bacillus_clausii_KSM_K16	Bacillus clausii KSM-K16	7
Bacillus_endophyticus_2102	Bacillus endophyticus 2102	3
Bacillus_firmus_DS1	Bacillus firmus DS1	1
Bacillus_flexus_27Col1_1E	Bacillus flexus 27Col1.1E	6
Bacillus_fordii_DSM_16014	Bacillus fordii DSM 16014	6
Bacillus_halodurans_C_125	Bacillus halodurans C-125	8
Bacillus_infantis_NRRL_B_14911	Bacillus infantis NRRL B-14911	9
Bacillus_licheniformis_ATCC_14580	Bacillus licheniformis ATCC 14580	5
Bacillus_megaterium_DSM319	Bacillus megaterium DSM319	11
Bacillus_mojavensis_RO_H_1	Bacillus mojavensis RO-H-1 = KCTC3706	3
