databaseID	Organism	AGORA_ID
GCF_000725405.1_ASM72540v1	Dermacoccus nishinomiyaensis	Dermacoccus_nishinomiyaensis
GCF_001908935.1_ASM190893v1	Dermacoccus nishinomiyaensis	Dermacoccus_nishinomiyaensis
GCF_001908945.1_ASM190894v1	Dermacoccus nishinomiyaensis	Dermacoccus_nishinomiyaensis
GCF_002356055.1_ASM235605v1	Staphylococcus intermedius ATCC 27335	Staphylococcus_intermedius_ATCC_27335
GCF_001073405.1_ASM107340v1	Staphylococcus intermedius ATCC 27335	Staphylococcus_intermedius_ATCC_27335
GCF_001073635.1_ASM107363v1	Staphylococcus intermedius ATCC 27335	Staphylococcus_intermedius_ATCC_27335
GCF_002073355.2_ASM207335v2	Staphylococcus intermedius ATCC 27335	Staphylococcus_intermedius_ATCC_27335
GCF_002879585.1_ASM287958v1	Staphylococcus intermedius ATCC 27335	Staphylococcus_intermedius_ATCC_27335
GCF_002879575.1_ASM287957v1	Staphylococcus intermedius ATCC 27335	Staphylococcus_intermedius_ATCC_27335
GCF_002879755.1_ASM287975v1	Staphylococcus intermedius ATCC 27335	Staphylococcus_intermedius_ATCC_27335
GCF_002888655.1_ASM288865v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_001046835.1_ASM104683v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002221655.1_ASM222165v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_001618905.1_ASM161890v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_001688685.2_ASM168868v2	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_001657495.1_ASM165749v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_001703855.1_ASM170385v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_001703865.1_ASM170386v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_001703885.1_ASM170388v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_001703875.1_ASM170387v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_001703935.1_ASM170393v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_001705505.1_ASM170550v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128485.1_ASM212848v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128515.1_ASM212851v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128525.1_ASM212852v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128495.1_ASM212849v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128555.1_ASM212855v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
