OTU	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Reversible	KEGGReac	KEGGProd
Anaerococcus_hydrogenalis_DSM_7454	ARGt2	arg_L[e]	h[c]	1	1	0.2	0	1000	0	C00062	C00282
Anaerococcus_hydrogenalis_DSM_7454	ARGt2	arg_L[e]	arg_L[c]	1	1	0.2	0	1000	0	C00062	C00062
Anaerococcus_hydrogenalis_DSM_7454	ASPt2r	asp_L[e]	h[c]	1	1	0.2	-1000	1000	1	C00049	C00282
Anaerococcus_hydrogenalis_DSM_7454	ASPt2r	asp_L[e]	asp_L[c]	1	1	0.2	-1000	1000	1	C00049	C00049
Anaerococcus_hydrogenalis_DSM_7454	CHLt2r	chol[e]	h[c]	1	1	0.2	-1000	1000	1	C00114	C00282
Anaerococcus_hydrogenalis_DSM_7454	CHLt2r	chol[e]	chol[c]	1	1	0.2	-1000	1000	1	C00114	C00114
Anaerococcus_hydrogenalis_DSM_7454	GLCabc	glc_D[e]	h[c]	1	1	0.2	0	1000	0	C00031	C00282
Anaerococcus_hydrogenalis_DSM_7454	GLCabc	glc_D[e]	adp[c]	1	1	0.2	0	1000	0	C00031	C00008
Anaerococcus_hydrogenalis_DSM_7454	GLCabc	glc_D[e]	pi[c]	1	1	0.2	0	1000	0	C00031	C00009
Anaerococcus_hydrogenalis_DSM_7454	GLCabc	glc_D[e]	glc_D[c]	1	1	0.2	0	1000	0	C00031	C00031
Anaerococcus_hydrogenalis_DSM_7454	GLCpts	glc_D[e]	pyr[c]	1	1	0.2	0	1000	0	C00031	C00022
Anaerococcus_hydrogenalis_DSM_7454	GLCpts	glc_D[e]	g6p[c]	1	1	0.2	0	1000	0	C00031	C00092
Anaerococcus_hydrogenalis_DSM_7454	GLNt2r	gln_L[e]	h[c]	1	1	0.2	-1000	1000	1	C00064	C00282
Anaerococcus_hydrogenalis_DSM_7454	GLNt2r	gln_L[e]	gln_L[c]	1	1	0.2	-1000	1000	1	C00064	C00064
Anaerococcus_hydrogenalis_DSM_7454	GLUt2r	glu_L[e]	h[c]	1	1	0.2	-1000	1000	1	C00025	C00282
Anaerococcus_hydrogenalis_DSM_7454	GLUt2r	glu_L[e]	glu_L[c]	1	1	0.2	-1000	1000	1	C00025	C00025
Anaerococcus_hydrogenalis_DSM_7454	GLYt4r	gly[e]	gly[c]	1	1	0.2	-1000	1000	1	C00037	C00037
Anaerococcus_hydrogenalis_DSM_7454	GLYt4r	gly[e]	na1[c]	1	1	0.2	-1000	1000	1	C00037	C01330
Anaerococcus_hydrogenalis_DSM_7454	HISt2r	his_L[e]	h[c]	1	1	0.2	-1000	1000	1	C00135	C00282
Anaerococcus_hydrogenalis_DSM_7454	HISt2r	his_L[e]	his_L[c]	1	1	0.2	-1000	1000	1	C00135	C00135
