compound	MetaboliteName	Rsq	VarDisp	ModelPVal	ModelPValFDRAdj	Slope	Intercept	Species	VarShare	PosVarShare	NumSynthGenes	SynthGenes	NumDegGenes	DegGenes
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Anaerococcus_prevotii_DSM_20548	-0.000179990807790192	0	0		2	GLCabc GLCpts
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Bacillus_pumilus_ATCC_7061	0.0032287119783632	0.0233883363449947	0		3	GLCabc GLCpts GLCt2
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Bacillus_thermoamylovorans	0	0	4	AMY1e AMY2e O16G1e O16G2e	3	GLCDe GLCabc GLCpts
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Bacteroides_faecis_MAJ27	-0.00779784078030211	0	0		1	GLCabc
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Bacteroides_sp_3_1_23	0	0	NA	NA	NA	NA
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Butyrivibrio_crossotus_DSM_2876	0	0	4	AMY1e AMY2e O16G1e O16G2e	1	GLCabc
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Clostridium_tyrobutyricum_DSM_2637	-0.0022063682868741	0	0		2	GLCabc GLCpts
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Fusobacterium_nucleatum_subsp_animalis_D11	0	0	NA	NA	NA	NA
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Gemella_haemolysans_ATCC_10379	-0.000256160982639754	0	0		1	GLCpts
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Lactobacillus_gasseri_ATCC_33323	0	0	5	AMY1e KESTOASEe KESTOPTASEe KESTOTTRASEe O16G2e	2	GLCabc GLCpts
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Lactobacillus_iners_DSM_13335	0.134273840756693	0.972660853924743	0		2	GLCabc GLCpts
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Lactobacillus_jensenii_1153	0.00054540119964807	0.00395080973026258	0		3	GLCDe GLCabc GLCpts
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Lactobacillus_reuteri_F275_JCM_1112	0	0	NA	NA	NA	NA
