OTU	p6z1tr12	p6z1tr24	p6z2tr4	j26tr26	j22tr26	j56tr73	p6z2tr63	j31tr33	p6z1tr67	j31tr7	p6z2tr44	j56tr75	j56tr77	j56tr74	j56tr48	j56tr71	j56tr49	p6z2tr68	j31tr57	p6z1tr40	j26tr28	j56tr70	j31tr59	j56tr53	p7z2tr51	j31tr31	j56tr76	j26tr8	j26tr65	j56tr69	j31tr48	j31tr52	j31tr64	j31tr58	j31tr53	j56tr52	j31tr34	j31tr62	j56tr27	j22tr55	j31tr55	j26tr27	j22tr27	j22tr63	j31tr63	j31tr60	j31tr32	j22tr53	j26tr24	j22tr57	j22tr54	j31tr29	j22tr22	j22tr23	j56tr78	j31tr56	j31tr61	j22tr52	j31tr11	p6z1tr23	p6z1tr19	p6z1tr66	j56tr51	j56tr68	j56tr72	j31tr65	j31tr66	j26tr9	j26tr10	j31tr4
Anaerococcus_hydrogenalis_DSM_7454	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
Anaerococcus_prevotii_DSM_20548	11	0	5	3	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	2	0	0	0	0	0	1	0	1	5	0	1	0	0	0	0	2	3	1	6	30	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	1	1
Atopobium_parvulum_DSM_20469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_pumilus_ATCC_7061	0	0	0	0	0	0	0	538	3	13	50	96	0	25	0	73	461	293	3	0	12	4	38	0	0	0	153	7	56	17	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_thermoamylovorans	3	4	20	3	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	12	0	0	16	0	25	0	0	45	10	2	1092	57	33	21	20	2	24	1	1	6	7	7	2	2	5	7	4	3	2	0	2	1	0	1	1	10	9	0	0	0	0	0	0	0	0
Bacteroides_faecis_MAJ27	158	0	0	47	0	0	64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	45	0	175	27	69	9	49	142	0	116	0	0	260	53	0	10	64	104	113	87	0	52	0	0	0	0	0	9	137	8
Bacteroides_sp_3_1_23	59	32	24	106	23	37	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	16	48	0	1	0	0	0	92	3	0	0	119	0	184	120	102	69	0	0	8	124	0	118	103	242	78	5	2	47	0	0	5	10	0	254	170	88
Bacteroides_ureolyticus_DSM_20703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bifidobacterium_bifidum_NCIMB_41171	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_boum_DSM_20432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
