KO	127_baseline	233_baseline	257_baseline	372_baseline	392_baseline	393_baseline	407_baseline	428_baseline	434_baseline	439_baseline	442_baseline	450_baseline	457_baseline	499_baseline	500_baseline	510_baseline	512_baseline	518_baseline	520_baseline	526_baseline	1284_baseline	1289_baseline	1294_baseline	1299_baseline	1303_baseline	1304_baseline	1306_baseline	1314_baseline	1318_baseline	1328_baseline	1334_baseline	1336_baseline	1338_baseline	1340_baseline	1342_baseline	1346_baseline	1348_baseline	1350_baseline	1352_baseline	1358_baseline
K00001	4.27493524657382	13.1053028491619	49.2395371241292	4.16675627713167	0.865303531623159	16.0581703171786	2.03568202631858	10.9163517845461	4.05263144635111	519.594650276629	0.907896192506167	5.33983816824174	42.4446020499457	14.539099277025	2.7236885775185	9.05553640324857	168.323074623685	10.3769082963086	2.74928170215861	1.70015444657692	80.4682703413998	76.1618827090519	11.5115182233199	6.47878401278827	24.7375881710132	0.79466650863351	9.37330381399087	4.90507092396059	0.721086276352632	0	3.21663015807958	1.89503665756517	57.0995350315572	1.35540455267662	1.04924530032149	7.64162355549277	20.5337737760228	6.36419935481084	168.982284759117	6.75788149639916
K00002	4.32651765811579	2.50441618529513	0	20.9770930698467	11.6348245130411	6.23341399498338	18.4753997292512	1.9533304913625	0	0	20.3404796386281	0	1.89944677673376	66.1209557749245	37.9739624181919	36.9507994585024	0.473578284199162	3.99679366799557	0	0	1.00127980087823	0	0.478754003152158	8.34784084652201	45.4417101708637	0.968088205269003	11.5763580582017	0.110307815646011	2.60614384151103	0.315718856132774	0	2.35079410220726	0	2.1687378719492	3.43196689900085	11.3450456820095	7.00745230850277	18.2549926853366	4.46686447690734	3.33520161146259
K00003	4289.93786276161	5489.63685589508	293.830526750565	2646.45668093895	5143.06907285975	5236.29832450318	2259.6339507087	3487.99594435876	2835.83998961819	1398.32379959267	4405.40161036001	36.1572785673988	136.524923117249	10775.3036401757	1184.19701151524	3868.39732838459	42.230239341417	5373.97041197999	289.565014649842	10.1137596651467	15.5083027307106	377.038130336819	2766.22585373487	5705.64297502042	6818.08043300346	291.625969975595	416.936406988207	131.707709822955	1101.4135444523	845.384006676707	312.042863804594	7382.02513253726	107.720197165222	24.1059584539546	4710.99241864187	4325.82171024817	3495.78879474	1837.92072100144	577.722491809031	3841.01459046405
K00004	0	0	0	0	0	4.89921751883845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9309780195515	0
K00005	55.8131231238727	131.337042330218	0.96494540604856	68.2602284462863	2.91782327414411	347.548752641449	83.0200520307709	87.7206849837816	47.928524770842	0.981646863606103	60.7531747167795	0	2.2678433530436	175.878497246501	6.75441253289535	28.9772014035556	1.90985470427751	148.611977267653	0	0	2.85816345856599	3.82566658890239	147.245480081562	82.052788819286	201.067321137171	26.1284545460538	47.433790401192	18.0614118678064	24.258092791615	6.70515420328693	6.69023276279255	103.925828682218	7.03173137642843	2.85816345856599	27.3766032173685	169.242639517714	56.940547210215	91.5138465987567	885.038868600294	188.603630760474
K00006	0.891725013504778	0.954898992663159	1.73919568390759	0	0	0.954898992663159	0	0	0	0	0	0	3.62840285537594	0	1.78345002700956	1.78345002700956	0	0	0	0	0.876119825768447	1.80178884476801	0	0.891725013504778	0	0	2.84953468002645	0	0	0	0	2.87709890357236	0	0	0.891725013504778	0	1.92252922675176	3.55818779814006	3.52264571091714	0
K00007	0	0	0	1.52700623227616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52041009304387	0	1.49928535729764	0	0	0	1.51381395381157	0	0	1.50572734081044	0	0	0	0	0.614515808314014	0	3.0444749955616	0	0	0
K00008	0	13.9888395613326	0.201987279716069	11.649605216519	0	13.7262167407482	32.7768448101763	0.684468613881599	0	0	0	0	0.798458077421062	1.00648829116068	0	0	0.932042367838777	6.07473613183532	0	0.201987279716069	0	0	42.6183285662731	1.10755420646541	51.9652885379064	0	27.3617533074316	2.52484099645086	0	4.87531016765006	0.302980919574103	0	0.30651422475864	3.87724691836539	2.92787680155817	1.51200248178264	6.44209697925776	5.07449297020808	87.1051150646506	32.0886887149352
K00009	8.90739219790007	7.33324640653082	463.535754373429	0	1.80178884476801	2.76432472636073	1.80871377503598	5.5626655604346	3.42119535024117	1964.39418203418	0	0	125.209568508896	8.34399834065191	0.891310816116137	4.59419063713649	1.68402386108762	0	452.602737007211	7.32267765985622	0	574.183666628543	17.8621559886517	25.5851310891327	1.79626034120449	1.79626034120449	5.44067772955309	16.9568892640172	1.58633789925577	8.83934861104588	5.32574288908483	1.8542218534782	162.166216133162	1.79626034120449	17.4379336430683	20.343175466304	16.1837633719282	1.68478009476698	715.60324526958	10.4257355509853
K00010	3.21089688344143	2107.17045584049	0	6.24917839234508	0	13.5186467717811	3.22234214160431	11.456027759318	0	0	0	0	0	5.17416682093672	2.07381976528899	0	1.04299979258149	117.036847313438	0	0	1.17206665654642	1.05875507645734	65.9484736493152	15.8336464313907	17.1318934065987	0	55.8113020862215	1.60265821786911	24.8602068208246	2.08599958516297	0	53.9343712662636	2.06145841357282	0	3.16624858482722	175.411664809427	177.719050068575	28.2851517163893	9.2632085396148	74.7481455337594
K00011	3.96948611911651	0	0	2.20066375794362	4.9028133354007	0	0.221802487536316	6.83345826249996	3.28507599198587	0	0.12734299793146	0.845131664728406	0	9.61550054927249	3.21837930463434	0.884411180586446	2.27563591108688	1.65827096359959	0	2.21802487536316	1.09514978221056	0	6.53944813054299	15.2509954688903	5.65261144011908	0	7.04971267473353	0	1.01874398345168	0.552756987866529	1.89717018613945	1.10551397573306	0.887209950145264	0	0	11.2981634917675	0	5.55904006971987	1.10901243768158	0
K00012	534.083943169687	1954.4580112587	0	606.93988117747	5.76993810596255	1293.97840046157	939.695429547143	567.72412990726	244.561817086698	0	760.709042227851	3.49127844923588	3.2761558687722	3207.28012685474	94.5912886956508	320.317210095153	0.773615740192888	1991.71880887562	4.05526252158046	1.46630933183004	7.19960909738738	6.47095383314835	1946.254196233	2158.78936929164	2900.37554438371	478.74766139018	403.104118316719	14.5980424072383	123.48016351682	104.12081576772	8.68094702957398	1556.95664810018	9.69888284070313	6.32013157629457	442.874146630731	1663.85064664211	956.137508957716	883.88199184393	1234.47262186342	1574.17851740685
K00013	41.9914997058575	12.0198007675476	0	1.63097300577102	1.6127500741982	24.4842646633159	13.3263317331495	0	1.60597286725778	0	1.58215769890464	0	0	13.8467941897699	0	0	0	0	3.20048444878785	0	0.815695409135353	0	40.2390396875098	20.9295528156581	167.073585334488	6.59471802200551	22.7388633974535	19.0874866335317	3.9553942472616	8.84434532522006	3.95288207513146	29.3331921777314	0	4.05107026621128	20.9577301196543	5.63502885752577	16.9780218396216	77.1003498003278	927.729804323586	33.6347948725322
K00014	4470.56101502275	6194.73909273455	61.3439488605167	2910.41489800342	5087.84939692364	5237.58857845486	2332.6599226212	3613.90555876913	2831.83618729513	17.8730228041109	4365.22668105569	19.0883566902593	33.6928424563661	8972.34650463972	1330.11543322325	4095.00930999343	486.787161388282	6046.63997078855	7.06192302886404	10.4819088189471	262.583591058359	25.4651235916295	4125.20889627536	7897.17373097371	8391.49133230465	990.284460850934	766.082907451928	108.29496318492	1122.05255765016	803.845768381695	205.195447471704	8291.76161491351	35.575716573678	11.7450571726199	5557.6499106794	4892.95584558783	3939.1322019839	1761.96120057408	2068.91809614773	4356.95558743923
K00015	7.23397514661663	74.1754159366455	1.04924530032149	1.60200228818802	0	75.0797267055757	4.77705577694683	0	1.08834760965025	0	29.7670154633357	0	0	1.7143027662468	6.18917222401911	9.91501462233041	1.10901243768158	25.6051518844076	0	0	0.350798729036415	0	24.2332086469566	25.8172810066031	5.58174377326738	0.544173804825123	1.94693294615211	0.973466473076053	0.658736711104096	0	0	31.8467073744157	0	0	1.09858285362815	25.5184613625637	28.920999503172	30.6631002357752	0	19.5641794129936
