LBNL_CC002_M_18	LBNL_CC004_F_23	LBNL_CC004_M_24	LBNL_CC008_F_21	LBNL_CC008_M_22	LBNL_CC010_F_15	LBNL_CC010_M_16	LBNL_CC011_F_25	LBNL_CC011_M_26	LBNL_CC013_F_45	LBNL_CC013_M_46	LBNL_CC026_F_53	LBNL_CC028_F_31	LBNL_CC030_F_43	LBNL_CC030_M_44	LBNL_CC032_F_29	LBNL_CC032_M_30	LBNL_CC033_F_33	LBNL_CC033_M_34	LBNL_CC036_F_35	LBNL_CC036_M_36	LBNL_CC037_F_13	LBNL_CC037_M_14	LBNL_CC038_F_47	LBNL_CC038_M_48	LBNL_CC039_F_11	LBNL_CC050_F_41	LBNL_CC051_F_1	LBNL_CC051_M_2	LBNL_CC052_F_39	LBNL_CC055_M_6	LBNL_CC057_F_49	LBNL_CC061_F_51	LBNL_CC061_M_52	LBNL_CC065_F_9	LBNL_CC065_M_10	UNC_CC002_F_4	UNC_CC002_M_3	UNC_CC004_F_6	UNC_CC004_M_5	UNC_CC008_F_8	UNC_CC008_M_7	UNC_CC010_M_9	UNC_CC011_F_12	UNC_CC011_M_11	UNC_CC013_M_13	UNC_CC016_F_16	UNC_CC016_M_15	UNC_CC021_F_20	UNC_CC021_M_19	UNC_CC026_F_22	UNC_CC026_M_21	UNC_CC028_F_24	UNC_CC028_M_23	UNC_CC030_F_26	UNC_CC030_M_25	UNC_CC032_F_28	UNC_CC032_M_27	UNC_CC033_F_30	UNC_CC033_M_29	UNC_CC036_F_32	UNC_CC036_M_31	UNC_CC037_F_34	UNC_CC037_M_33	UNC_CC038_F_36	UNC_CC038_M_35	UNC_CC039_M_37	UNC_CC050_F_46	UNC_CC050_M_45	UNC_CC051_F_48	UNC_CC051_M_47	UNC_CC052_F_50	UNC_CC052_M_49	UNC_CC061_F_58	UNC_CC061_M_57	UNC_CC065_F_60	UNC_CC065_M_59	KEGG
1349866	1040852	1182441	961145	3950667	995609	2494365	2475689	1912883	1494172	2127929	1917911	674721	2211178	1959277	1594619	756771	533882	1456717	2396294	1385768	534547	1342948	747629	1580989	312433	779207	577181	796797	1419980	4088014	1011306	1821432	2176747	4025955	2263110	532012	1634268	1477991	1863144	3537610	8451992	3262620	1698322	1656176	3718106	1287817	901594	538061	978909	753297	4120578	1447842	1635847	1736391	2666971	537957	354873	811169	973646	1573357	2204649	2175026	2239188	2031710	1472034	1566023	1979539	2464287	1049828	1077990	1168800	830403	1799751	4687532	1876112	748661	C13858
1205529	1543079	1932377	4725544	4281772	2478777	2082668	2551460	3056657	438795	2062756	1435502	2284879	2699099	1972549	1715074	1697659	1188384	1973934	3077012	2160345	749488	1561682	1232375	3392292	526471	747236	1033923	1182622	1579598	2784256	1505233	839185	1534546	1744875	2680686	1295362	2223365	1717128	4047773	1638280	2848792	1708317	1869074	2610421	2155767	2129012	1454028	1339607	1836763	738448	1182308	2656688	1307449	1272495	1612475	2100279	942402	1910832	1509520	3814885	1988507	1354026	2842877	3269240	3060246	803262	1042692	1184253	2119305	1210748	1210767	5948901	1386812	2031968	876867	956226	C00823
3016225	2526879	3159434	3535341	3017768	3762926	3151707	2045277	1651687	7844035	4343791	2024337	2786785	8173065	2739749	1382742	2841941	2353779	1999640	2290908	2945904	3164316	3024652	2324842	2120889	1330498	1220121	3050396	2210234	2908319	1472240	2255563	1455680	1688771	2147116	2117103	1188025	2008392	3922916	3702778	2694928	1397641	3124012	1699325	1742689	3306600	2452351	2771058	2305296	1907830	1772688	2151150	2533089	2555310	2443345	3228821	1948241	1887805	2669468	1299699	3230692	1822370	1939903	1862353	1871412	2219267	1979271	1353444	1681108	1970132	1206896	1616826	1572846	2013096	1401485	1889675	2121614	C13859
3459813	2329554	3894338	2254832	4627181	3572988	3782848	3598450	3122121	3126663	3674427	3146542	2185145	2743046	3306540	2011071	3084322	2302829	3300856	3057362	2073833	1847006	3203230	2065586	3390014	998823	1929811	1963542	2158650	2056705	5694594	2279104	1618574	3015820	3201306	4382128	3126273	4826862	5920028	7333034	4686020	5604726	8727049	3060540	4138549	4959273	2580668	2833908	3458402	3073041	3317031	9927199	4443746	3788652	3549886	6033438	2056160	2809127	3325758	2561527	2654136	3007933	4100185	4527275	4414682	2974743	3002312	3426930	3941327	3953808	2945684	3066964	2479303	3759851	3557259	3334771	2486222	C16526
724910	1395517	1877095	1367222	1450575	3267499	2749708	3130396	1026520	2547117	1782858	1897923	892069	10451808	3231864	2332447	1719714	2792550	813788	2625532	3221025	3220457	2401141	441381	2413865	689651	1746782	651990	575494	705687	6361016	1865879	852239	2012951	1576739	1577477	1844910	814175	2736394	3725143	1242813	794854	2565426	1355868	942919	1091992	689467	960352	1498115	1349428	1881089	2554270	629991	600101	2897972	700927	3065163	1893324	1704942	542353	3272068	921322	890665	1807124	2756890	3520655	3739903	705016	693755	819364	764596	1103868	1077275	2334020	782276	630132	5562333	C03044
53882	163111	49779	5729170	9091338	138974	108729	32838	190172	2079565	1039819	1289248	60650	50649	115446	55808	126259	62229	81777	1432856	1393751	97098	923063	736748	244438	623785	216595	202172	66991	64611	75535	80824	658178	50113	289377	670624	4671839	125885	10263705	624538	2564696	17712418	16362992	80803	27670	2782950	858275	455775	2211055	147626	3313577	6801130	143678	505059	795329	306537	1671789	309747	65352	71534	1462915	641308	522503	881307	74293	10685293	874327	51188	47438	3410487	108603	3848358	10113896	7907526	2776952	131253	673078	C02356
48544	243116	147686	245571	230271	289660	178071	57278	89128	70578	71881	286666	185730	120301	227916	39431	129127	73486	314979	302416	54105	86554	275703	75122	117731	238410	230497	35109	56107	123175	91986	30180	72277	26222	182550	237123	311583	185579	117953	245553	106990	102700	736356	0	6988	443031	187103	247710	244427	0	434360	237416	43397	12896	152820	59556	447368	817197	109443	65867	163242	11480	7454	89688	166029	552102	110132	8393	9257	108362	63668	1340632	1521670	869379	42242	57842	250873	C02630
666290	997640	1221306	1916653	1722174	1152970	1172438	1025870	1112293	1061200	1078416	1021399	760929	1577852	828615	11082	478581	704745	1050388	888509	545591	829439	1164564	88892	805591	205581	520809	507632	763960	832038	2540595	1213312	938701	696218	978754	1038866	1735758	1153728	1504504	1404511	1668718	2066019	1410492	1269003	1356530	1867607	846733	1667790	1508981	685655	1649862	2119732	1183462	709909	1450734	2253283	1632908	2255401	2042305	1041759	1167287	720656	1065770	1312982	1119733	1961406	431714	893503	784370	1071029	2018927	1906377	2158734	1757787	876151	1025482	1487016	C02502
35316	292569	145227	267564	97564	183738	94216	44827	61996	214587	99462	202492	96107	102344	49110	28526	48933	38242	46842	128355	216551	58398	67142	71140	56568	137176	62203	62937	50666	79893	47890	38808	52982	33037	171557	205577	415553	218299	750944	416993	369082	124989	1388500	61469	40199	372691	169457	919690	481051	278102	681907	233654	71120	118977	151520	129834	502520	599169	174422	108810	606825	94462	56157	197932	67152	459396	724678	67612	49074	181572	71984	2137102	1531682	831653	49502	321337	348633	C00233
3748996	4058364	2944073	14766004	7214202	29251068	2787257	4812442	3203952	14267567	6508236	5839937	3438016	10982095	4959755	1670625	4946335	4478277	1871683	10020613	6255873	3450897	3254759	1743322	4542107	1655484	3137804	3581326	4627944	1847007	6408411	5794787	4860573	5525387	5672205	5385898	6107057	2672798	13550987	14037384	10618153	105590	15953164	4808896	3000422	15189781	6986336	7341660	8634157	9851105	5439246	19174791	4248622	3497622	6514589	9887177	3876950	8288133	6896628	2163240	6831294	6294717	4202079	4993939	10207724	4782828	3743298	4975107	4305376	10123429	2812176	9215197	1102194	7013359	3505347	9126462	6106438	C11457
