KO	123_baseline	127_baseline	233_baseline	257_baseline	257_follow.up	293_baseline	362_baseline	363_baseline	363_follow.up	369_baseline	372_baseline	392_baseline	393_baseline	407_baseline	407_follow.up	415_baseline	428_baseline	434_baseline	439_baseline	442_baseline	450_baseline	454_baseline	454_follow.up	457_baseline	490_baseline	490_follow.up	499_baseline	500_baseline	500_follow.up	505_baseline	510_baseline	510_follow.up	512_baseline	516_baseline	518_baseline	518_follow.up	520_baseline	526_baseline	1284_baseline	1289_baseline	1290_baseline	1292_baseline	1294_baseline	1296_baseline	1299_baseline	1303_baseline	1304_baseline	1306_baseline	1310_baseline	1314_baseline	1316_baseline	1318_baseline	1320_baseline	1322_baseline	1324_baseline	1326_baseline	1328_baseline	1334_baseline	1336_baseline	1338_baseline	1340_baseline	1342_baseline	1346_baseline	1348_baseline	1350_baseline	1356_baseline	1358_baseline
K00057	371382	817006	203189.4	224609	41739.415	3634.3	264526	327012	144915.9	381639.87341	3970448.5	657141.2987	140941.3	442297.15	104545	683757	188697.8	335591	24959.25	706881.1	363053.325	1239016.6	476161.91	1906757.8	954701.4	106140.5	2534406	135066.4	1170440.8	36495.3	240013.5	3669037.5	421002.625	652656	491066	305131	36903	281003	561913.80269	484364.81672	133064.65	384443.45	1005909.92	628841.2	7481002.25	3531063	34507.59361	258114.7	1483598.75	7357059.7788	207038.75	548181.87	1602615.25	1589832.5	1717563.25	102022.25	2784035.25	3669100.8	13407076.25	103024.07666	3660006	6704505.45	834121.5	5195891.5	3351931.5	743304.31	6891913.75
K00067	182880	235602	87586.4	93807.5	41603.75	3467.5	88903	9	4.5	375040.57341	3473311.5	40138.2987	5828.3	285044.15	27423	396454	14394.8	33988	23401.875	106222.1	2.25	270513.6	370007.5	98237.8	144698.4	102007.5	484003	9	67439.3	32492.3	9	463034.5	2.25	116453	258263	2771	36901.875	2.25	898.70269	483006.81672	133003.75	77442.7	372709.17	327840.45	4910001.5	1331061.5	16066.84361	57113.95	16598	4659.7788	371.75	192581.12	4.5	1164731.75	1225401.5	4.5	534434.5	2399.8	5276990.75	94106.87666	4.5	998504.7	311250.75	2190890.75	1479930.75	312243.56	4424913
K00075	387692	847037	237979.4	224615	41741.665	3638.8	319277.5	327016.5	144918.15	381644.37341	4430450	661354.2987	151372.8	471998.65	110264.5	806069.9	196015.83	379992.5	24960.375	798082.6	363054.45	1393218.1	476166.41	1906758.925	995902.9	106145	2635407.5	135070.9	1223442.3	41550.39	240018	3739739	421579.375	755576	669566	305135.5	36904.125	281004.125	561924.03369	484367.06672	133066.9	481944.2	1104010.67	983841.95	9345003	3987063.75	202549.59361	272716.2	1483601	7357062.0288	207041	669941.87	1602617.5	1853932.5	2721564	102024.5	3307635.25	3669818.15	14658476.25	103026.32666	3660008.25	8383506.2	976021.5	6660891.5	4086101.5	831904.31	8118313.75
K00077	234880	618431	178090	7.5	3.165	6	239501.5	6	13.65	11.508	988001.5	293003	143981.5	346201.5	105971.5	198312.9	140338.03	292801.5	1.5	730701.5	51.825	1070301.5	8.91	1521.125	409301.5	6	2355601.5	58.9	897400.75	17125.09	6	2821501.5	577.125	229520	299900	300623	1.5	1.5	21.931	242.875	3	244400.75	718000.75	469000.75	3034000.75	3248000.75	173802	110501.5	669002.25	169651.5	289.25	303960	3	594700	1359000.75	19.25	2804600	97233.35	7837400	62.45	3	6377000.75	718800	4199000	1788170	511100	2783400
K00088	514162	1382437	326479.4	224615	41741.83	3638.8	485827.5	327016.5	144928.8	381648.87341	4720450	915144.2987	282472.8	614498.65	186616.5	864069.9	322185.83	611792.5	24960.375	1372482.6	363104.775	2282518.1	476169.32	1908278.55	1279402.9	106145	4602007.5	135123.8	2000441.55	41720.39	240018	6067539	421579.375	809876	725566	603134	36904.125	281004.125	561934.98369	484607.31672	133066.9	614744.2	1670010.67	983841.95	10205003	6023063.75	205949.59361	326116.2	2152600.25	7522061.2788	207327.25	830941.87	1602617.5	2097832.5	2830564	102040.75	5307635.25	3765712.15	21003476.25	103085.77666	3660008.25	12926506.2	1437921.5	9123891.5	4621101.5	1233104.31	9527313.75
K00099	192659	239032	106874.9	12	5.25	10.5	137203	10.5	5.25	43.57341	3726311.5	39218.2987	13358.3	302243	32493	499315.9	17881.33	72188	2.625	171822.1	2.625	363013.6	10.5	38.55	173398.4	10.5	541603	10.5	120439.3	36535.89	10.5	501534.5	578.25	206471.5	307761.5	2772.5	2.625	2.625	13.78369	8.31672	5.25	112742.7	418801.5	518821.5	5074001.5	1623061.5	173608.09361	57114.7	16598.75	4660.5288	5.25	210340	5.25	1339731	1846401.5	5.25	908033.75	2404.43	6153390	8.37666	5.25	1880504.7	402050	3278890	1822100	376009.76	5250100
K00134	391842	827297	237659.4	224616.5	41742.415	3640.3	409427.5	327018	144918.9	381645.87341	4729450	657147.2987	163532.8	493898.65	119756.5	992769.9	199145.83	450192.5	24960.75	903682.6	363054.825	1516518.1	476167.91	1906759.3	1040802.9	106146.5	2707207.5	135072.4	1329441.55	48620.39	240019.5	3784539	422731	914676	635366	305137	36904.5	281004.5	561930.54569	484367.81672	133067.65	490344.2	1144210.67	1201841.95	7973003	4407063.75	506049.59361	258117.7	1483601.75	7357062.7788	207041.75	591741.87	1602618.25	2092832.5	3580564	102025.25	3865635.25	3669133.35	15909476.25	103027.07666	3660009	9350506.2	1077921.5	8095891.5	4366101.5	904704.31	9259313.75
K00226	514160	1382433	326476.4	186815	41741.08	3558.4	485824.5	327015	132028.8	375058.87341	4720447	915141.2987	282469.8	614495.65	186613.5	864066.9	322182.83	611789.5	24723.375	1372479.6	363104.4	2282515.1	473019.32	1691278.55	1279399.9	102015	4602004.5	135120.8	2000440.05	41717.39	240015	6067536	268579.375	809873	725563	601954	36903.75	281003.75	450934.98369	484125.31672	133007.5	614743.45	1670009.92	983841.2	10205002.25	6023063	205948.84361	326115.45	2152599.5	7474661.2788	203947.25	830941.12	1600007.5	2097831.75	2830563.25	102040	5307634.5	3765611.15	21003390.75	94495.77666	3660007.5	12926505.45	1437920.75	9123890.75	4621100.75	1233103.56	9527313
K00266	192659	239032	106874.9	12	5.25	10.5	137203	10.5	5.25	43.57341	3726311.5	39218.2987	13358.3	302243	32493	499315.9	17881.33	72188	2.625	171822.1	2.625	363013.6	10.5	38.55	173398.4	10.5	541603	10.5	120439.3	36535.89	10.5	501534.5	578.25	206471.5	307761.5	2772.5	2.625	2.625	13.78369	8.31672	5.25	112742.7	418801.5	518821.5	5074001.5	1623061.5	173608.09361	57114.7	16598.75	4660.5288	5.25	210340	5.25	1339731	1846401.5	5.25	908033.75	2404.43	6153390	8.37666	5.25	1880504.7	402050	3278890	1822100	376009.76	5250100
K00287	374632	793837	206979.4	224612	41740.165	3635.8	306377.5	327013.5	144916.65	381641.37341	4016450	652934.2987	145572.8	446998.65	108968.5	767469.9	188355.83	367592.5	24959.625	746882.6	363053.7	1269818.1	476163.41	1906758.175	970902.9	106142	2548607.5	135067.9	1223440.8	39530.39	240015	3675339	421578.625	729776	411566	305132.5	36903.375	281003.375	561915.73369	484365.56672	133065.4	357544.2	1000010.67	655841.95	5945003	3659063.75	181549.59361	243516.2	1483599.5	7357060.5288	207039.5	461941.87	1602616	1675732.5	1955564	102023	3007635.25	3668406.15	13908476.25	103024.82666	3660006.75	6789506.2	873821.5	5906891.5	3302101.5	782304.31	7316313.75
K00384	631835	972443	370883.9	449221	83478.665	7268.6	358303.5	654024	289821.15	763244.18941	4906590	1091281.7987	157388.8	822255.8	158189.5	1052236.8	254028.36	476798.5	49918.5	928944.6	726056.325	1464324.1	952320.91	3811960.05	1679108.9	212281	3251813.5	270079.9	1684245.3	68179.98	480027	5431745	842580.875	1373200.5	850270.5	314738.5	73806	562006	1123817.28369	968485.56672	266129.3	622146.45	1227020.59	1348863.15	9976005.25	5499066.75	212353.09361	490718.45	2281604.75	14553763.5288	413791.25	807803.74	3205230.5	2130434	3213727.25	204028.25	3988836.75	7241170.62	16613962.5	205985.57666	7320012	9059508.45	1230193	7549893	6075273	894598.86	9125927.5
K00525	460068	973003	232169.8	93016.5	141.665	99.9	328774.5	327015	132018.15	87.93882	6998755.5	656222.0974	141415.1	540834.5	107415.5	1042618.9	192414.63	346774.5	1323.75	722398.7	363054.075	1421025.7	103017.91	1591595.225	1002295.3	16.5	2687004.5	135067.9	1170477.1	56076.69	240015	3676867.5	268003.75	687923	557023	304099	4.125	281003.75	450026.35538	889.25844	8.25	385584.65	1272702.25	678642.25	10381002.25	3942123	38254.18722	258127.15	1500193.75	7309668.0576	203293.75	620420	1600007.5	2589762	2313963.25	102023.75	2907067.5	3670058.91	18131380	340.20332	3660007.5	6751008.65	993570	6920780	3927030	1024379.52	10821800
K00526	375820	817003	214886.4	186812	41739.415	3555.4	264524.5	327012	132016.65	375051.37341	3970447	657139.7987	140939.8	442295.65	104543.5	683766.9	188702.83	335589.5	24722.625	706879.6	363053.325	1239015.1	473013.41	1689758.175	954699.9	102012	2534404.5	135064.9	1170440.05	36497.39	240012	3669036	268003	656673	493163	303952.5	36903	281003	450914.55269	483883.56672	133006	384443.45	1005909.92	628841.2	7481002.25	3531063	35048.84361	258114.7	1483598.75	7309660.5288	203659.5	553041.12	1600006	1600831.75	1717563.25	102022.25	2803634.5	3669000.55	13470390.75	94434.82666	3660006	6704505.45	848420.75	5377890.75	3358100.75	758303.56	6946313
