123_baseline	127_baseline	233_baseline	257_baseline	257_follow.up	293_baseline	362_baseline	363_baseline	363_follow.up	369_baseline	372_baseline	392_baseline	393_baseline	407_baseline	407_follow.up	415_baseline	428_baseline	434_baseline	439_baseline	442_baseline	450_baseline	454_baseline	454_follow.up	457_baseline	490_baseline	490_follow.up	499_baseline	500_baseline	500_follow.up	505_baseline	510_baseline	510_follow.up	512_baseline	516_baseline	518_baseline	518_follow.up	520_baseline	526_baseline	1284_baseline	1289_baseline	1290_baseline	1292_baseline	1294_baseline	1296_baseline	1299_baseline	1303_baseline	1304_baseline	1306_baseline	1310_baseline	1314_baseline	1316_baseline	1318_baseline	1320_baseline	1322_baseline	1324_baseline	1326_baseline	1328_baseline	1334_baseline	1336_baseline	1338_baseline	1340_baseline	1342_baseline	1346_baseline	1348_baseline	1350_baseline	1356_baseline	1358_baseline	KEGG
0.121794	0.121794	0.121794	0.741708	1.13264	1.173402	0.121794	6.315002	0.162552	4.190541	0.121794	1.81255	0.121794	0.121794	0.121794	0.121794	0.121794	0.121794	1.36516	0.121794	0.249139	0.121794	1.354055	0.808091	0.121794	6.005559	0.121794	1.099562	0.558576	0.121794	0.309622	0.354052	0.900438	0.121794	0.121794	0.520702	0.473407	2.783015	0.710377	1.052549	0.157602	0.121794	0.121794	1.990272	0.121794	0.121794	0.121794	0.670439	0.121794	0.8856	1	0.121794	0.296654	0.121794	0.522591	1.029099	0.121794	0.121794	0.121794	1.225073	1.265212	0.121794	0.121794	0.121794	0.121794	0.121794	0.121794	C00003
2.155728	0.789462	0.555423	1.416703	0.610948	0.698107	0.98864	1.825231	3.694473	0.843703	5.51155	1.947776	0.497725	2.039317	0.821732	0.179551	1.834827	0.440954	0.49669	0.728907	0.583046	0.555167	2.476302	2.60523	1.063615	1.851632	5.987577	1.931199	1.309177	0.480517	0.271545	0.508916	1.01136	0.329632	3.801331	1.192067	0.299591	13.224114	3.71964	0.530998	1.444938	0.826044	0.823017	1.455099	0.30608	0.491438	2.804245	2.387925	0.839206	1.853052	1.715482	1.063655	0.778812	0.641895	1.250072	0.494723	0.417162	3.135003	1.93756	1.756906	0.829424	0.790492	0.791606	0.987863	9.347104	0.652944	2.070191	C00009
0.468443	0.468443	0.468443	0.468443	0.468443	0.468443	0.879918	0.635302	0.468443	0.468443	1.497041	0.773284	0.468443	1	0.468443	0.468443	1.005751	0.468443	0.468443	0.468443	0.468443	0.780083	1.225036	0.468443	1.1799	1.035562	3.877658	1.142315	0.468443	0.468443	0.468443	0.468443	0.468443	0.70373	1.549469	0.468443	0.468443	1.480077	0.917603	0.468443	0.468443	2.024301	4.383832	3.407657	1	0.468443	2.209833	0.752187	0.468443	0.617477	0.468443	1.753071	0.468443	0.883743	1.545035	0.468443	0.89073	0.468443	2.546436	0.630242	0.468443	0.847279	0.468443	0.712948	0.824021	0.468443	1.633443	C00016
0.756934	1.163152	0.328794	1.45468	0.782842	7.123016	4.137729	8.410836	2.198712	4.871015	1.0701	5.871691	0.848557	0.060019	0.060019	0.060019	1.801409	0.861417	0.826423	1	0.449827	0.773845	2.282825	1.248099	2.261684	1.919258	0.291047	1.636877	0.353983	0.990466	1.027143	0.441316	0.540087	3.85172	0.226699	1.556731	0.48383	1.674025	0.804144	3.615009	5.04533	0.655855	0.060019	0.492581	0.120142	0.31743	1.53741	5.026019	0.877657	0.298283	0.428269	1.973966	1.092592	0.33101	1.061403	0.852403	1.061011	1.827557	1.184951	2.808913	3.375228	1.598996	0.144125	0.938989	0.576358	0.483565	0.583641	C00022
0.056232	0.651926	0.371812	0.890726	3.562255	3.003894	0.604854	8.53855	5.104521	7.703215	1.050252	3.997933	0.204531	0.567294	0.24617	0.13885	3.355911	0.354996	2.383423	1.051055	0.208521	1.3238	4.740202	1.001314	0.594554	15.071708	10.96135	2.88611	0.625087	0.341348	0.278581	1.13334	2.889644	0.486096	2.372864	0.998686	0.946102	11.545959	1.142951	3.23266	2.387463	0.80004	1.032775	1	0.296507	0.339487	0.621503	2.181986	1.069124	0.524123	0.725265	0.858351	0.925473	0.27213	1.234349	1.533067	0.420925	1.475828	0.800962	2.540361	2.217125	1.004823	1.407651	0.284266	1.110631	0.438764	0.419672	C00025
0.353025	2.512565	0.361205	3.174579	3.922809	2.305149	0.700606	7.228074	4.365806	7.052507	0.634612	4.489887	0.156826	1.683002	0.418105	0.060039	0.428101	0.259049	1.007778	0.290624	0.324072	0.489168	4.231901	2.567804	0.44584	45.096859	1.62067	4.684686	1.372509	0.206188	0.116478	0.512734	0.992222	0.418328	0.829273	1.118006	0.34946	11.180907	8.64167	2.83527	3.010257	1.522861	0.509289	0.825262	0.213364	1.154027	0.672079	4.943861	0.650215	6.051804	5.365458	0.811237	0.775269	0.464931	6.623664	1.115597	0.3626	2.496447	0.960852	5.1055	1.027687	0.848318	0.256416	0.316485	6.024233	0.87794	1	C00037
1.133172	0.618613	0.448557	2.878736	1.980887	1.073387	1.44668	2.789188	2.290833	4.540353	0.894686	1.121252	1.013612	0.728944	0.315383	0.079557	1.19837	0.391886	0.501917	0.961785	0.295764	0.60521	2.421719	1.859017	0.989836	15.049249	11.915051	2.557564	0.986388	0.363931	0.150346	0.24142	0.64136	0.631956	2.51338	0.781207	0.231712	7.4243	2.625564	1.240142	1.336433	0.926229	0.620993	1.946079	0.460523	0.670693	3.283254	1.12294	0.423868	2.358767	1.934235	1	0.386429	0.610276	1.884737	0.688352	0.700562	0.714948	1.310219	2.864908	0.725426	1.03211	0.980112	0.625215	10.907659	0.432832	1.464677	C00041
3.786809	2.726332	1.667368	0.883111	0.459868	0.536023	2.190014	0.143241	0.290658	1.225351	30.076088	0.702377	3.634063	7.181319	1.189565	0.242852	4.707939	0.342486	0.192257	1.116889	0.028249	1.151285	0.947128	1.504236	4.654443	1.246479	11.803571	4.390887	0.07804	1.768099	0.365512	0.019654	0.070754	1.076052	8.677796	0.135959	0.078406	0.44521	0.134539	0.599618	0.226591	0.958324	1.259856	12.201806	0.906136	1.207067	6.810368	1.861034	0.394507	0.038104	0.106855	5.464365	0.554967	1	2.337412	0.007875	1.861183	0.081768	8.929295	0.478171	0.050688	2.556291	0.314105	3.406871	14.05899	0.700968	7.217574	C00042
0.161018	0.615421	0.188231	45.865089	14.284113	3.968817	0.775957	32.706375	8.06662	32.246567	0.249542	0.897719	0.103835	0.999372	0.919824	0.103835	0.589108	0.15818	1.216019	0.103835	0.24788	0.754857	8.860602	19.480766	0.376167	58.234364	1	0.769598	10.088275	0.300488	0.214726	0.656564	8.691174	0.38721	0.794924	2.80296	1.019836	8.184707	31.537283	7.110334	5.060698	1.295004	7.583344	4.349035	0.45653	1.100592	0.145199	0.386059	0.166761	2.50529	10.827354	0.461668	1.122541	0.571613	0.603402	0.888488	0.526709	1.649705	0.345009	11.156276	1.35277	0.899407	0.432195	0.186389	4.737437	0.341447	1.375331	C00047
0.188947	0.376555	0.271173	7.067966	4.615054	1.526747	0.708908	13.959749	4.307852	11.157805	1.46671	3.081765	0.218719	1.004273	0.295569	0.032	0.88942	0.154641	0.889046	0.386459	0.276179	0.528237	5.272178	6.242178	0.515288	42.294361	2.365684	2.212873	2.590345	0.191829	0.085707	0.724353	2.676083	0.352675	2.091777	1.670571	0.453473	25.864519	7.442476	2.524909	2.156708	0.92529	1.085224	1.694028	0.184464	0.336562	0.689537	1.636763	0.365039	6.320611	4.71388	1.417153	1	0.228163	1.636199	0.750992	0.616048	1.062445	1.392711	3.519928	1.425029	0.875001	0.329161	0.324067	11.576474	0.428494	0.789291	C00049
