p6z2tr4	p6z1tr66	p6z1tr67	p6z1tr12	p6z2tr68	p6z1tr19	p6z1tr23	p6z1tr40	p7z2tr51	j22tr52	j22tr22	j22tr53	j22tr54	j22tr55	j22tr57	j22tr23	j31tr4	j22tr63	j31tr7	j31tr48	j26tr8	j26tr9	j26tr10	j31tr11	j26tr65	j26tr24	j26tr26	j26tr27	j26tr28	j31tr29	j31tr31	j31tr32	j31tr33	j31tr52	j31tr34	j31tr53	j31tr55	j31tr56	j31tr57	j31tr58	j31tr59	j31tr60	j22tr26	j31tr61	j31tr62	j31tr63	j22tr27	j31tr64	j31tr65	j31tr66	p6z1tr24	p6z2tr44	p6z2tr63	j56tr68	j56tr69	j56tr70	j56tr71	j56tr72	j56tr73	j56tr74	j56tr75	j56tr76	j56tr77	j56tr78	j56tr48	j56tr49	j56tr51	j56tr52	j56tr53	j56tr27	KEGG
460587	784321	220971	1830495	196459	414564	627646	820724	538710	893591	312065	597229	468974	241931	281961	476821	311886	1127612	918765	142883	329751	335972	458153	503536	1112097	560524	466418	347878	1053939	380814	241351	598672	206589	3714744	251585	137810	700095	506798	2474161	346429	243567	301058	328558	251122	790048	400077	230539	546486	1183183	1246475	1430332	915867	616752	294386	497778	160995	87421	576373	1074451	868858	1207610	305862	340609	396399	422465	2214522	150925	69849	2284542	586001	C00022
23332866	80485390	80569118	47859543	120341851	21001984	53122522	60201447	24082315	62721904	63745096	26536607	56020030	133150922	30410230	42582535	5406299	92794644	138558486	38615156	93068556	10977048	11090249	15315332	131565943	25450242	32516136	11053358	134745977	85536786	11833886	31410754	75011184	147031263	14916936	30901430	18887800	35319784	145918427	37306892	89163683	101464823	16044065	14082692	36656603	30694987	13141236	31629900	99574500	79523138	72174139	137042368	37858678	135725731	140858920	127440573	66245820	134492831	34395466	141260302	175703240	139421852	128649491	102463525	165465554	136686810	88619385	20353921	91411722	109764897	C00186
379728	695554	740041	495431	182299	207970	964362	291700	422126	867516	246693	370386	440450	587290	187880	938195	594702	918114	372530	338268	185688	236801	469589	200859	473570	221440	646166	217319	233444	179323	504029	267742	344200	552319	137457	133990	580328	593801	493550	239621	152287	154625	221962	533661	437077	286575	162721	344603	341617	190799	868603	146117	279634	180829	187810	278145	119981	913303	612909	169585	216563	127494	185294	103870	512210	429249	95717	141279	944482	467128	C00036
585351	59424	76375	165933	76129	335169	133920	940017	2237373	51117	77820	180312	410077	85380	167583	135421	95098	189818	114642	266462	96427	150867	35109	166514	63185	2182814	134397	147844	581532	195137	409823	164406	112024	383495	240223	894860	69414	372447	61488	944206	130417	64444	343192	24287	443613	52383	91112	157949	805789	233546	408788	286550	NA	105696	160918	77001	65612	150216	3937717	54112	233174	82325	56104	217459	NA	181925	23677	328524	86949	515508	C00074
3214300	27469282	27083009	16651282	55413234	2291767	15767070	18564358	3828661	19803927	18978594	3220604	14504024	108488947	4299565	9241077	329097	123089092	115731585	7867755	104289711	1337950	1564993	2092896	73125109	3552483	5672398	908533	89229440	98619287	1122215	7453481	24013879	166282019	1732389	16097571	2771556	7823714	181950427	7036066	124125020	40223591	5215689	1721088	16118415	6841871	1194423	6892578	43888827	31045123	27154257	73084065	8418998	76537142	109533362	59961674	18477373	77818826	8100083	91637438	141697153	83681221	62966754	50288621	141038620	164319899	32710359	4388672	112856160	66971437	C00031
4111770	3056812	1789864	1717813	3376815	1985506	2828007	2374148	2792012	2598706	1984803	2015615	3565933	3741135	2904045	1913135	2257830	1592632	4020321	2085170	1495141	2181505	2093801	2538521	1604711	1642787	2001476	2119225	3186242	2192264	2179444	2405412	3304022	2067704	2045724	2155474	1876755	1932923	1015116	1953950	1265424	1166308	2254323	2290214	2462383	2989199	2500520	2865674	1390863	1102234	2170976	1295806	2055866	1267525	1991182	1545314	2027172	1648740	1869237	1419871	1114945	1652020	1653453	1143775	1850159	697760	1130809	1079711	3490958	1103029	C00383
5036433	5528967	4986316	5174096	6274278	5403580	5590543	4065868	5169196	5119025	4429141	5034068	6023775	5750850	5316164	4350868	4718382	4352616	6742688	5938712	4756796	5547619	4710143	4641200	4920725	3583492	3046669	5571059	7239909	6230914	4610857	6340905	8958953	6578302	4789260	6510655	4989203	4589855	2644224	5732158	4521905	4521982	4848822	6121157	4075422	6201486	4991158	5776676	3535872	4682366	3551193	3499201	4266337	4249380	4279761	5003293	4501578	5219051	3005964	4000819	4400730	6512603	3636469	3801352	4503549	2754725	4035044	4129079	3658237	3836045	C00122
126062400	119135475	27407839	145169028	44247592	124779838	122994933	136676159	143995426	145043284	123074794	124918049	111782412	41054882	119507899	143611924	136039358	119952593	64244283	17558374	90203936	134480995	123133366	128066911	124776456	148294109	150413328	121338163	54611271	37508010	140051523	122788656	35659838	150583530	87138923	127796785	123460242	140906179	104500250	13847189	49369331	26282136	126174342	128288683	137136375	11474564	63719997	104281450	130918712	18477217	120475344	114698949	121464217	17239795	22388833	48031150	56969493	16870208	150398519	84930524	107168980	20099862	50790489	10924609	112023333	62975881	11328405	5744996	145733533	128419810	C00042
149750	238701	183724	179595	262409	161056	177162	175215	214687	226163	141444	186490	231377	288217	254024	112485	175941	175147	302744	244682	194146	165085	184623	178864	202028	148214	141990	196933	315374	237936	192944	203454	244103	191143	196287	186277	199574	172745	110776	134862	186848	150928	218367	192511	199346	221582	160454	218141	116273	164087	142152	154127	182780	155611	169767	152138	198335	222947	113581	114572	125988	179703	97350	151682	136480	107937	123853	125445	113917	146726	C00026
50572	124685	88201	62303	129959	43089	77523	118042	73345	61998	27965	29405	154664	245423	25149	34219	7011	470448	160168	27003	316324	18026	23155	13680	132575	17099	24975	69110	270999	204364	38615	37964	55746	1568766	144586	77087	23266	37728	1427174	98132	218932	46086	16978	5961	25923	35026	8123	104342	39116	56606	88860	124005	27741	75944	286939	60290	40227	136161	38372	150029	512970	96070	57763	39783	358837	379880	31525	21656	120667	260706	C00037
