OTU	p6z1tr12	p6z1tr24	p6z2tr4	j26tr26	j22tr26	j56tr73	p6z2tr63	j31tr33	p6z1tr67	j31tr7	p6z2tr44	j56tr75	j56tr77	j56tr74	j56tr48	j56tr71	j56tr49	p6z2tr68	j31tr57	p6z1tr40	j26tr28	j56tr70	j31tr59	j56tr53	p7z2tr51	j31tr31	j56tr76	j26tr8	j26tr65	j56tr69	j31tr48	j31tr52	j31tr64	j31tr58	j31tr53	j56tr52	j31tr34	j31tr62	j56tr27	j22tr55	j31tr55	j26tr27	j22tr27	j22tr63	j31tr63	j31tr60	j31tr32	j22tr53	j26tr24	j22tr57	j22tr54	j31tr29	j22tr22	j22tr23	j56tr78	j31tr56	j31tr61	j22tr52	j31tr11	p6z1tr23	p6z1tr19	p6z1tr66	j56tr51	j56tr68	j56tr72	j31tr65	j31tr66	j26tr9	j26tr10	j31tr4
227285	4	17	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
851733	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4327286	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134726	0	0	0	0	0	0	0	0	12	0	94	8	7	7	6	4	2	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
925326	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130468	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	7	0	1	3	0	0	9	0	8	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15076	3	4	20	3	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	12	0	0	16	0	25	0	0	45	10	2	1092	57	33	21	20	2	24	1	1	6	7	7	2	2	5	7	4	3	2	0	2	1	0	1	1	10	9	0	0	0	0	0	0	0	0
4322588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4451252	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
