Cef2dayrec21	Cef2dayrec22	Cef2dayrec23	Cef2dayrec25	Cef2dayrec26	Cef2dayrec27	Cef6wkrec13	Cef6wkrec14	Cef6wkrec15	Cef6wkrec16	Cef6wkrec17	Cef6wkrec18	Cef6wkrec19	Cef6wkrec20	NoAbx29	NoAbx30	NoAbx31	NoAbx32	NoAbx33	NoAbx34	NoAbx35	NoAbx36	NoAbx6wk37	NoAbx6wk38	NoAbx6wk39	NoAbx6wk40	NoAbx6wk41	NoAbx6wk42	NoAbx6wk43	NoAbx6wk44	KEGG
2.5542	4.8486	3.0951	3.0045	2.6118	1.7805	1.0097	0.9239	1.69	1.4837	1.6091	1.6156	1.21	1.2179	0.6191	0.9493	0.9865	0.9207	0.6619	0.2867	0.4663	0.2867	1.0999	1.2812	1.0232	1	0.6494	0.6981	1.3094	0.3367	C00064
2.9277	1.7745	2.2164	2.3379	2.1207	1.5039	1.3806	1.2552	1.0115	1.5973	1.1026	1.3966	1.4318	1.2698	0.9563	0.7601	0.9643	0.9308	0.8887	1.1463	0.9928	1.8328	1.0072	1.1146	0.7589	0.9066	0.8719	1.1794	1.2082	1.2978	C00078
0.6969	0.5022	0.3549	0.8259	0.8811	0.6315	2.8286	3.9551	1.8896	0.8428	4.332	3.0708	1.0386	1.4908	1.0009	0.7153	0.772	1.0058	1.8338	0.9907	0.6934	1.0827	0.9991	0.7069	1.1865	1.1829	1.0408	1.0719	1.5761	0.3883	C00099
1.7703	1.0341	1.4034	1.0617	1.2417	1.3308	1.2107	1.1277	1.0493	0.9952	1.1428	1.0155	1.2999	1.3791	0.8429	0.7293	0.9225	0.9339	1.5749	0.956	1.0544	1.2131	0.6959	1.0817	1.052	1.021	1.2443	1.0176	0.8315	1.0048	C00025
1.6476	1.707	2.1318	1.8345	1.5987	1.209	1.4523	1.18	0.9635	1.6046	1.4262	1.1924	1.4137	1.4588	1.081	1.0647	0.9679	0.7783	0.9952	1.1564	1.0669	1.7306	0.7542	1.1001	0.8153	0.7397	0.8211	1.0048	1.3498	1.2929	C00135
2.6817	1.5684	2.4165	2.3613	2.0703	1.4808	1.6952	1.4014	1.3862	1.7688	1.3214	1.6061	1.5698	1.5215	0.9878	0.8194	1.0036	0.8322	0.8519	1.0292	0.9964	1.7952	0.9919	1.1759	0.751	0.8861	0.8661	1.0732	1.174	1.1511	C00123
2.8647	2.4042	2.5347	2.637	2.1249	1.4082	1.4186	1.4624	1.462	1.8988	1.4243	1.4905	1.2621	1.5265	1.2186	0.765	1.0601	0.8153	1.0756	1.6308	1.1446	1.7102	0.9515	0.8269	0.8252	0.9344	0.6117	1.1465	1.0451	0.8919	C00187
2.1114	1.3533	1.7532	1.8903	1.7331	1.1655	1.4261	1.2365	1.2274	1.6104	1.2643	1.4637	1.328	1.3097	1.0089	0.8518	0.9871	0.9252	0.9209	1.1452	0.9911	1.7083	0.9723	1.1896	0.8399	1.0395	0.9382	1.1069	1.1525	1.1138	C00079
0.9213	0.9513	1.677	0.9075	0.9075	1.5855	0.5526	0.3025	0.5387	1.455	0.6384	0.6566	1.3639	0.6837	1.4152	1.058	1.1367	0.9061	1.0579	0.6955	1.316	0.9421	1.3361	1.0663	1.8267	1.6582	1.3091	1.1568	1.2328	1.096	C00489
1.6092	0.6543	0.8007	0.5535	0.6873	0.5592	0.9456	0.6823	0.3557	1.4914	0.6325	1.0544	0.9147	1.8882	1.9605	1.6256	1.9439	1.1843	0.8029	2.094	1.4842	2.1015	1.3135	1.3711	0.89	1.6734	0.8705	1.8833	2.5551	2.2277	C00242
