compound	Species	V1	Var	Mean	VarShare
C00022	4402042	-7837733.27878363	7089528369.79243	-2546.45921495983	-0.00110553662669286
C00022	4402077	-3805354.15178066	7089528369.79243	-2546.45921495983	-0.000536757024345201
C00022	4403349	-73262.904743786	7089528369.79243	-2546.45921495983	-1.03339603034738e-05
C00022	4405128	-4729131.99032957	7089528369.79243	-2546.45921495983	-0.000667058758165041
C00022	4407190	12989694.9535021	7089528369.79243	-2546.45921495983	0.00183223682535069
C00022	4407703	9161445.43769079	7089528369.79243	-2546.45921495983	0.00129225033878509
C00022	440840	-140332.986442748	7089528369.79243	-2546.45921495983	-1.97944036786267e-05
C00022	4409730	189536.547641953	7089528369.79243	-2546.45921495983	2.67347188353944e-05
C00022	4410988	-245238.052729431	7089528369.79243	-2546.45921495983	-3.45915891633016e-05
C00022	441494	44073.0107204636	7089528369.79243	-2546.45921495983	6.21663507381578e-06
C00022	4416396	-2491624.34145549	7089528369.79243	-2546.45921495983	-0.000351451353530367
C00022	4416434	-186711.354647051	7089528369.79243	-2546.45921495983	-2.63362165870729e-05
C00022	4416927	-49177.1927312523	7089528369.79243	-2546.45921495983	-6.93659580245e-06
C00022	4417539	3981597.22465061	7089528369.79243	-2546.45921495983	0.00056161665726816
C00022	4418586	738663.65967497	7089528369.79243	-2546.45921495983	0.000104190803837152
C00022	4420206	-508738.152977905	7089528369.79243	-2546.45921495983	-7.17590968597535e-05
C00022	4420272	78683.5083700037	7089528369.79243	-2546.45921495983	1.109855328392e-05
C00022	4421933	-304714.015658098	7089528369.79243	-2546.45921495983	-4.29808584949663e-05
C00022	4424239	0	7089528369.79243	-2546.45921495983	0
C00022	4424327	-2003762.48124791	7089528369.79243	-2546.45921495983	-0.000282636922617544
C00022	4425571	2047428.66417711	7089528369.79243	-2546.45921495983	0.000288796173367602
C00022	4426877	-985.050624222328	7089528369.79243	-2546.45921495983	-1.38944450581438e-07
C00022	4428313	506063.636942732	7089528369.79243	-2546.45921495983	7.13818480646758e-05
C00022	4430498	76941.3060231478	7089528369.79243	-2546.45921495983	1.08528102307884e-05
C00022	4432234	-3648697.20021338	7089528369.79243	-2546.45921495983	-0.000514660074675772
C00022	4432238	3125462.04024763	7089528369.79243	-2546.45921495983	0.000440856129945798
C00022	4432841	56852074.3519619	7089528369.79243	-2546.45921495983	0.00801916169687694
C00022	4433947	-67898.8049774664	7089528369.79243	-2546.45921495983	-9.57733736799397e-06
