Rxn	Species	SamplesWithNeg	SamplesWithPos	SamplesWithBoth	FracPosLastTP	FracNegLastTP	ClearPos	ClearNeg	Reversible
26DAPLLAT	BcaccaeAGORA	0	61	0	1	0	1	0	0
26DAPLLAT	BovatusAGORA	0	61	0	1	0	1	0	0
26DAPLLAT	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
26DAPLLAT	CsymbiosumAGORA	0	61	0	1	0	1	0	0
26DAPLLAT	DpigerAGORA	0	61	0	1	0	1	0	0
26DAPLLAT	ErectaleAGORA	0	61	0	1	0	1	0	0
2HYDOGCOAD	CsymbiosumAGORA	0	61	0	1	0	1	0	0
2HYDOGCOAT	CsymbiosumAGORA	0	61	0	1	0	1	0	0
2HYDOGDH	CsymbiosumAGORA	0	61	0	1	0	1	0	0
2MBCOATA	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
2MBCOATA	CsymbiosumAGORA	0	61	0	1	0	1	0	0
2MBCOATA	ErectaleAGORA	0	61	0	1	0	1	0	0
2MMALD	BovatusAGORA	0	1	0	0	0	1	0	0
2MMALD	BthetaiotaomicronAGORA	0	2	0	0	0	1	0	0
2MMALD2	BovatusAGORA	0	1	0	0	0	1	0	0
2MMALD2	BthetaiotaomicronAGORA	0	2	0	0	0	1	0	0
3BTCOAI	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3CARLPDH	EcoliAGORA	0	61	0	1	0	1	0	0
3HAD100	BcaccaeAGORA	0	61	0	1	0	1	0	0
3HAD100	BovatusAGORA	0	61	0	1	0	1	0	0
3HAD100	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3HAD10M12	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3HAD10M12	CsymbiosumAGORA	0	61	0	1	0	1	0	0
3HAD10M12	ErectaleAGORA	0	61	0	1	0	1	0	0
3HAD11M12	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
3HAD11M12	CsymbiosumAGORA	0	61	0	1	0	1	0	0
