noiseLevel	SimRun	TimePoint	compound	Species	totFlux	cumulFlux
3	1	577	26dap_M[env]	BcaccaeAGORA	0	0
3	1	577	3mop[env]	BcaccaeAGORA	0	0
3	1	577	4abut[env]	BcaccaeAGORA	0	0
3	1	577	ac[env]	BcaccaeAGORA	0.000149769490375236	0.0206277630237102
3	1	577	ala_L[env]	BcaccaeAGORA	-0.000104622021810522	-0.0147174747787661
3	1	577	amylopect900[env]	BcaccaeAGORA	0	0
3	1	577	amylose300[env]	BcaccaeAGORA	0	0
3	1	577	arg_L[env]	BcaccaeAGORA	-0.00000661471058321447	-0.000902902559871013
3	1	577	asn_L[env]	BcaccaeAGORA	-0.0000693055515502345	-0.00923616138149853
3	1	577	asp_L[env]	BcaccaeAGORA	0	0
3	1	577	but[env]	BcaccaeAGORA	0	0
3	1	577	ca2[env]	BcaccaeAGORA	-0.000000179196311890086	-0.0000244601493428268
3	1	577	cgly[env]	BcaccaeAGORA	0	0
3	1	577	cit[env]	BcaccaeAGORA	0	0
3	1	577	cl[env]	BcaccaeAGORA	-0.000000179196311890086	-0.0000244601493428268
3	1	577	co2[env]	BcaccaeAGORA	0.000425913740850287	0.0579485936033382
3	1	577	cobalt2[env]	BcaccaeAGORA	-0.000000179196311890086	-0.0000244601493428268
3	1	577	csn[env]	BcaccaeAGORA	0	0
3	1	577	cu2[env]	BcaccaeAGORA	-0.000000179196311890086	-0.0000244601493428268
3	1	577	cys_L[env]	BcaccaeAGORA	0	0
3	1	577	etoh[env]	BcaccaeAGORA	0	0
3	1	577	fe2[env]	BcaccaeAGORA	-0.000000179196311890086	-0.0000244601493428268
3	1	577	fe3[env]	BcaccaeAGORA	-0.000000179196311890086	-0.0000244601493428268
3	1	577	fol[env]	BcaccaeAGORA	0	0
3	1	577	for[env]	BcaccaeAGORA	0.00000107517787134052	0.000146760896056961
3	1	577	fru[env]	BcaccaeAGORA	-0.0000703729855186853	-0.00966505097905432
3	1	577	gal[env]	BcaccaeAGORA	-0.0000910887800874038	-0.0123200702022401
3	1	577	glc_D[env]	BcaccaeAGORA	-0.0000736026630226108	-0.0101086160415747
3	1	577	gln_L[env]	BcaccaeAGORA	0	0
3	1	577	glu_L[env]	BcaccaeAGORA	0	0
3	1	577	gly[env]	BcaccaeAGORA	0	0
3	1	577	glyc[env]	BcaccaeAGORA	0	0
3	1	577	gua[env]	BcaccaeAGORA	0	0
3	1	577	h2[env]	BcaccaeAGORA	0	0
3	1	577	h2o[env]	BcaccaeAGORA	0.000238589536037951	0.0331837875263193
3	1	577	h2s[env]	BcaccaeAGORA	-0.00000240014843497947	-0.000327618289379526
3	1	577	h[env]	BcaccaeAGORA	0.000553005979229319	0.0755294802694196
3	1	577	his_L[env]	BcaccaeAGORA	0	0
3	1	577	ile_L[env]	BcaccaeAGORA	0	0
3	1	577	indole[env]	BcaccaeAGORA	0	0
3	1	577	isobut[env]	BcaccaeAGORA	0	0
3	1	577	k[env]	BcaccaeAGORA	-0.000000179196311890086	-0.0000244601493428268
3	1	577	leu_L[env]	BcaccaeAGORA	-0.0000100655945621565	-0.00137394538770256
3	1	577	lys_L[env]	BcaccaeAGORA	-0.00000765371601287399	-0.0010447259473583
3	1	577	malttr[env]	BcaccaeAGORA	0	0
3	1	577	met_L[env]	BcaccaeAGORA	-0.00000360598674619559	-0.000492214228127081
3	1	577	mg2[env]	BcaccaeAGORA	-0.000000179196311890086	-0.0000244601493428268
3	1	577	mn2[env]	BcaccaeAGORA	-0.000000179196311890086	-0.0000244601493428268
3	1	577	mqn7[env]	BcaccaeAGORA	0	0
3	1	577	nac[env]	BcaccaeAGORA	-0.000000358392623780283	-0.000048920298685654
3	1	577	nh4[env]	BcaccaeAGORA	0.000329517842748267	0.0443914988977313
3	1	577	ocdca[env]	BcaccaeAGORA	0	0
3	1	577	orn[env]	BcaccaeAGORA	0	0
3	1	577	pac[env]	BcaccaeAGORA	0	0
3	1	577	phe_L[env]	BcaccaeAGORA	0	0
3	1	577	pheme[env]	BcaccaeAGORA	0	0
3	1	577	pi[env]	BcaccaeAGORA	-0.0000266234769652961	-0.00363408273154551
3	1	577	pnto_R[env]	BcaccaeAGORA	0	0
3	1	577	ppa[env]	BcaccaeAGORA	0.000747622404391921	0.102031201243151
3	1	577	pro_L[env]	BcaccaeAGORA	-0.000108794762106635	-0.0146073943765883
3	1	577	ptrc[env]	BcaccaeAGORA	0	0
3	1	577	pydx[env]	BcaccaeAGORA	0.0000440763758011598	0.00615670825944764
3	1	577	pydxn[env]	BcaccaeAGORA	-0.0000442555721130499	-0.00618116840879047
3	1	577	q8[env]	BcaccaeAGORA	0	0
3	1	577	ribflv[env]	BcaccaeAGORA	0	0
3	1	577	ser_L[env]	BcaccaeAGORA	-0.00010755411564309	-0.0143141710927661
3	1	577	sheme[env]	BcaccaeAGORA	0	0
3	1	577	so4[env]	BcaccaeAGORA	-0.000000179196311890086	-0.0000244601493428268
3	1	577	succ[env]	BcaccaeAGORA	-0.00000361379608194141	-0.000847532885914216
3	1	577	sucr[env]	BcaccaeAGORA	-0.0000540170707896697	-0.00740896492376604
3	1	577	thm[env]	BcaccaeAGORA	0	0
