noiseLevel	SimRun	TimePoint	niceLab	compound	value
8	10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.196379798342068
8	10	577	3-methyl-2-oxopentanoate	3mop[env]	0
8	10	577	4-aminobutanoate	4abut[env]	0.0536128993554045
8	10	577	acetate	ac[env]	3.04235560299829
8	10	577	l-alanine	ala_L[env]	0.0149882065647348
8	10	577	amylopectin; 900 repeat units	amylopect900[env]	0.0000162094392759922
8	10	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.0000454872361355836
8	10	577	l-argininium(1+)	arg_L[env]	0.0204392871464021
8	10	577	l-asparagine	asn_L[env]	0.00807853074307793
8	10	577	l-aspartate(1-)	asp_L[env]	0.00901425938732471
8	10	577	biotin	btn[env]	0.211571997015935
8	10	577	butyrate	but[env]	3.63049323558598
8	10	577	calcium(2+)	ca2[env]	18.9822222510959
8	10	577	cob(i)alamin	cbl1[env]	0.216094137538249
8	10	577	cellulose	cellul[env]	0.000461546299175054
8	10	577	l-cysteinylglycine	cgly[env]	0.0175788151713894
8	10	577	choline	chol[env]	0.0103103671094253
8	10	577	citrate	cit[env]	0.00455588029711492
8	10	577	chloride	cl[env]	22.6299967136698
8	10	577	carbon dioxide	co2[env]	6.99959390785294
8	10	577	co2+	cobalt2[env]	23.2377012048498
8	10	577	cytosine	csn[env]	0.000000000188143182440692
8	10	577	cu2+	cu2[env]	20.1462164240735
8	10	577	l-cysteine	cys_L[env]	0.090961450836412
8	10	577	ethanol	etoh[env]	0.0059938605516775
8	10	577	fe2+	fe2[env]	24.8122865663759
8	10	577	fe3+	fe3[env]	22.803513968317
8	10	577	folate	fol[env]	0.221301748113809
8	10	577	formate	for[env]	4.55235911589389
8	10	577	d-fructose	fru[env]	0.00947041606909248
8	10	577	d-galactose	gal[env]	0.0114273277037268
8	10	577	d-glucose	glc_D[env]	0.0101414018082402
8	10	577	l-glutamine	gln_L[env]	0.00997621916409367
8	10	577	l-glutamate(1-)	glu_L[env]	0.0089311131254381
8	10	577	glycine	gly[env]	0.0237128047941765
8	10	577	glycerol	glyc[env]	0.0111162435461069
8	10	577	guanine	gua[env]	0.000000000322481593804363
8	10	577	hydrogen	h2[env]	0.739623866885277
8	10	577	water	h2o[env]	2032.12832996017
8	10	577	hydrogen sulfide	h2s[env]	22.0527361898135
8	10	577	proton	h[env]	0.31996930751152
8	10	577	hexadecanoate (n-c16:0)	hdca[env]	0.12994414744335
8	10	577	l-histidine	his_L[env]	0.264608584300095
8	10	577	l-isoleucine	ile_L[env]	0.300487006534805
8	10	577	indole	indole[env]	0.16040196922612
8	10	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
8	10	577	potassium	k[env]	20.8688098297099
8	10	577	l-leucine	leu_L[env]	0.143127497039081
8	10	577	l-lysinium(1+)	lys_L[env]	0.205508867195381
8	10	577	maltotriose	malttr[env]	0.00374691390538473
8	10	577	l-methionine	met_L[env]	0.286129182135831
8	10	577	magnesium	mg2[env]	22.2598184017814
8	10	577	mn2+	mn2[env]	22.0698184460213
8	10	577	molybdate	mobd[env]	18.6673750553288
8	10	577	menaquinone 7	mqn7[env]	0.213788011093081
8	10	577	sodium	na1[env]	21.5111518135148
8	10	577	nicotinate	nac[env]	0.199780028526169
8	10	577	ammonium	nh4[env]	12.8843755619607
8	10	577	octadecanoate (n-c18:0)	ocdca[env]	0.0964292543897986
8	10	577	ornithine	orn[env]	0.012506710618831
8	10	577	phenylacetate	pac[env]	0.123782668597363
8	10	577	l-phenylalanine	phe_L[env]	0.00479541562246749
8	10	577	protoheme	pheme[env]	0.211824792449768
8	10	577	hydrogenphosphate	pi[env]	2150.72829127603
8	10	577	(r)-pantothenate	pnto_R[env]	0.198302091098515
8	10	577	propionate	ppa[env]	4.5087849749428
8	10	577	l-proline	pro_L[env]	0.0152619606082616
8	10	577	putrescine	ptrc[env]	0.109784961281683
8	10	577	pyridoxal	pydx[env]	0.452143450909393
8	10	577	pyridoxine	pydxn[env]	0.00707030251386954
8	10	577	ubiquinone-8	q8[env]	0.221898348364181
8	10	577	riboflavin	ribflv[env]	0.230636993302106
8	10	577	selenite	selni[env]	22.2670180072343
8	10	577	l-serine	ser_L[env]	0.0124265959903984
8	10	577	siroheme	sheme[env]	0.222825123387371
8	10	577	sulfate	so4[env]	20.0873484403925
8	10	577	succinate	succ[env]	0.000447573803859827
8	10	577	sucrose	sucr[env]	0.00802195888454197
8	10	577	thiamin	thm[env]	0.201413540805406
8	10	577	l-threonine	thr_L[env]	0.00595797145110431
8	10	577	l-tryptophan	trp_L[env]	0.00451544804853483
8	10	577	tetradecanoate (n-c14:0)	ttdca[env]	0.121727838521327
8	10	577	l-tyrosine	tyr_L[env]	0.187556870295058
8	10	577	uracil	ura[env]	0.12745076523553
8	10	577	l-valine	val_L[env]	0.29076171778712
8	10	577	zinc	zn2[env]	19.2392341701782
8	11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.195126662240586
8	11	577	3-methyl-2-oxopentanoate	3mop[env]	0
8	11	577	4-aminobutanoate	4abut[env]	0.0520981897465725
8	11	577	acetate	ac[env]	2.47694833534604
8	11	577	l-alanine	ala_L[env]	0.0136193930615051
8	11	577	amylopectin; 900 repeat units	amylopect900[env]	0.0000170969265137922
8	11	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.000046851123704257
8	11	577	l-argininium(1+)	arg_L[env]	0.0155844054560195
8	11	577	l-asparagine	asn_L[env]	0.00931788112633908
8	11	577	l-aspartate(1-)	asp_L[env]	0.00938338479679209
8	11	577	biotin	btn[env]	0.20549849274724
8	11	577	butyrate	but[env]	3.9576900033994
8	11	577	calcium(2+)	ca2[env]	19.9853327974401
8	11	577	cob(i)alamin	cbl1[env]	0.222716412908968
8	11	577	cellulose	cellul[env]	0.000475772003339445
8	11	577	l-cysteinylglycine	cgly[env]	0.0213129501284044
8	11	577	choline	chol[env]	0.00955636385615115
8	11	577	citrate	cit[env]	0.00418033717233741
8	11	577	chloride	cl[env]	18.6668685458781
8	11	577	carbon dioxide	co2[env]	7.75944754084905
8	11	577	co2+	cobalt2[env]	20.1368694915913
8	11	577	cytosine	csn[env]	0.000000000209056187263621
8	11	577	cu2+	cu2[env]	20.0145010092668
8	11	577	l-cysteine	cys_L[env]	0.0983436030709259
8	11	577	ethanol	etoh[env]	0.00477585639716665
8	11	577	fe2+	fe2[env]	19.2043387378425
8	11	577	fe3+	fe3[env]	20.2900765132133
8	11	577	folate	fol[env]	0.209971104513432
8	11	577	formate	for[env]	3.84895112032038
8	11	577	d-fructose	fru[env]	0.00972533982043604
8	11	577	d-galactose	gal[env]	0.0129734889435742
8	11	577	d-glucose	glc_D[env]	0.00937040993655117
8	11	577	l-glutamine	gln_L[env]	0.0120917508047704
8	11	577	l-glutamate(1-)	glu_L[env]	0.00892682552905757
8	11	577	glycine	gly[env]	0.0239176342839152
8	11	577	glycerol	glyc[env]	0.0118186731937131
8	11	577	guanine	gua[env]	0.000000000351205811487042
8	11	577	hydrogen	h2[env]	0.576645391622671
8	11	577	water	h2o[env]	1935.51615260143
8	11	577	hydrogen sulfide	h2s[env]	20.2208695251856
8	11	577	proton	h[env]	0.357757569078722
8	11	577	hexadecanoate (n-c16:0)	hdca[env]	0.130668192115797
8	11	577	l-histidine	his_L[env]	0.254525775526488
8	11	577	l-isoleucine	ile_L[env]	0.253806854405084
8	11	577	indole	indole[env]	0.164671234606597
8	11	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
8	11	577	potassium	k[env]	20.3579122339792
8	11	577	l-leucine	leu_L[env]	0.141927644408592
8	11	577	l-lysinium(1+)	lys_L[env]	0.175514464519997
8	11	577	maltotriose	malttr[env]	0.00400340924209099
8	11	577	l-methionine	met_L[env]	0.32211716879634
8	11	577	magnesium	mg2[env]	18.8449998971074
8	11	577	mn2+	mn2[env]	20.5494944914705
8	11	577	molybdate	mobd[env]	20.5618246155564
8	11	577	menaquinone 7	mqn7[env]	0.214508421094241
8	11	577	sodium	na1[env]	24.4851608487937
8	11	577	nicotinate	nac[env]	0.225157495749103
8	11	577	ammonium	nh4[env]	11.620462454563
8	11	577	octadecanoate (n-c18:0)	ocdca[env]	0.090245310801921
8	11	577	ornithine	orn[env]	0.00819450356908526
8	11	577	phenylacetate	pac[env]	0.146133126071316
8	11	577	l-phenylalanine	phe_L[env]	0.00520272499137402
8	11	577	protoheme	pheme[env]	0.193961896990036
8	11	577	hydrogenphosphate	pi[env]	2319.18146823137
8	11	577	(r)-pantothenate	pnto_R[env]	0.242471513050235
