noiseLevel	SimRun	TimePoint	niceLab	compound	value
0.5	10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.20393522657329
0.5	10	577	3-methyl-2-oxopentanoate	3mop[env]	0
0.5	10	577	4-aminobutanoate	4abut[env]	0.0537913855903366
0.5	10	577	acetate	ac[env]	2.78953010929438
0.5	10	577	l-alanine	ala_L[env]	0.0138703873537463
0.5	10	577	amylopectin; 900 repeat units	amylopect900[env]	0.0000159734210959171
0.5	10	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.000048030051426315
0.5	10	577	l-argininium(1+)	arg_L[env]	0.0191262139601429
0.5	10	577	l-asparagine	asn_L[env]	0.00905634977436146
0.5	10	577	l-aspartate(1-)	asp_L[env]	0.00918443098107432
0.5	10	577	biotin	btn[env]	0.212543597586082
0.5	10	577	butyrate	but[env]	3.73475676868213
0.5	10	577	calcium(2+)	ca2[env]	21.1146399571277
0.5	10	577	cob(i)alamin	cbl1[env]	0.210635936557711
0.5	10	577	cellulose	cellul[env]	0.000505959095904904
0.5	10	577	l-cysteinylglycine	cgly[env]	0.0201702706575806
0.5	10	577	choline	chol[env]	0.010621351168689
0.5	10	577	citrate	cit[env]	0.00400647761645515
0.5	10	577	chloride	cl[env]	21.2496945042951
0.5	10	577	carbon dioxide	co2[env]	7.38001170229133
0.5	10	577	co2+	cobalt2[env]	21.1840466028795
0.5	10	577	cytosine	csn[env]	0.000000000218400185436737
0.5	10	577	cu2+	cu2[env]	21.2216230327624
0.5	10	577	l-cysteine	cys_L[env]	0.0936932718066075
0.5	10	577	ethanol	etoh[env]	0.00484435613164402
0.5	10	577	fe2+	fe2[env]	21.392285733976
0.5	10	577	fe3+	fe3[env]	21.1796109368813
0.5	10	577	folate	fol[env]	0.207483012842145
0.5	10	577	formate	for[env]	4.09717047819862
0.5	10	577	d-fructose	fru[env]	0.00970008947084044
0.5	10	577	d-galactose	gal[env]	0.0117345668139391
0.5	10	577	d-glucose	glc_D[env]	0.00966010791943548
0.5	10	577	l-glutamine	gln_L[env]	0.0114878242202244
0.5	10	577	l-glutamate(1-)	glu_L[env]	0.00868419778089463
0.5	10	577	glycine	gly[env]	0.0223013538497334
0.5	10	577	glycerol	glyc[env]	0.0109741763154927
0.5	10	577	guanine	gua[env]	0.000000000361980861630053
0.5	10	577	hydrogen	h2[env]	0.662165393256912
0.5	10	577	water	h2o[env]	2129.20778975251
0.5	10	577	hydrogen sulfide	h2s[env]	21.9652014879067
0.5	10	577	proton	h[env]	0.344743874606773
0.5	10	577	hexadecanoate (n-c16:0)	hdca[env]	0.120439390872722
0.5	10	577	l-histidine	his_L[env]	0.276269766467063
0.5	10	577	l-isoleucine	ile_L[env]	0.278739827956634
0.5	10	577	indole	indole[env]	0.157590640981824
0.5	10	577	isobutyrate; 2-methylpropanoate	isobut[env]	0
0.5	10	577	potassium	k[env]	21.0094004959824
0.5	10	577	l-leucine	leu_L[env]	0.141095835101145
0.5	10	577	l-lysinium(1+)	lys_L[env]	0.196710600338063
0.5	10	577	maltotriose	malttr[env]	0.00436001726729841
0.5	10	577	l-methionine	met_L[env]	0.348197108707886
0.5	10	577	magnesium	mg2[env]	21.242915067796
0.5	10	577	mn2+	mn2[env]	21.0890267908762
0.5	10	577	molybdate	mobd[env]	21.2464667499965
0.5	10	577	menaquinone 7	mqn7[env]	0.208617965008783
0.5	10	577	sodium	na1[env]	21.2547177982866
0.5	10	577	nicotinate	nac[env]	0.204058353488302
0.5	10	577	ammonium	nh4[env]	12.7168889212531
0.5	10	577	octadecanoate (n-c18:0)	ocdca[env]	0.0863206496339
0.5	10	577	ornithine	orn[env]	0.010066078219541
0.5	10	577	phenylacetate	pac[env]	0.155745971434567
0.5	10	577	l-phenylalanine	phe_L[env]	0.00559237705872903
0.5	10	577	protoheme	pheme[env]	0.211100446771861
0.5	10	577	hydrogenphosphate	pi[env]	2112.54127144316
0.5	10	577	(r)-pantothenate	pnto_R[env]	0.209285758621407
0.5	10	577	propionate	ppa[env]	4.69766540436975
0.5	10	577	l-proline	pro_L[env]	0.0154037007906539
0.5	10	577	putrescine	ptrc[env]	0.085958037395369
0.5	10	577	pyridoxal	pydx[env]	0.416615176984873
0.5	10	577	pyridoxine	pydxn[env]	0.00640048017694811
0.5	10	577	ubiquinone-8	q8[env]	0.211482626894985
0.5	10	577	riboflavin	ribflv[env]	0.206410027799941
0.5	10	577	selenite	selni[env]	21.3203154969348
0.5	10	577	l-serine	ser_L[env]	0.0143641196372186
0.5	10	577	siroheme	sheme[env]	0.210594037804097
0.5	10	577	sulfate	so4[env]	21.1964091619944
0.5	10	577	succinate	succ[env]	0.000555584453078609
0.5	10	577	sucrose	sucr[env]	0.00702360251807739
0.5	10	577	thiamin	thm[env]	0.211745391422647
0.5	10	577	l-threonine	thr_L[env]	0.00576924596916788
0.5	10	577	l-tryptophan	trp_L[env]	0.00427762078429252
0.5	10	577	tetradecanoate (n-c14:0)	ttdca[env]	0.131431688858482
0.5	10	577	l-tyrosine	tyr_L[env]	0.175290274381232
0.5	10	577	uracil	ura[env]	0.138714124514213
0.5	10	577	l-valine	val_L[env]	0.274848524439796
0.5	10	577	zinc	zn2[env]	21.1150034263952
0.5	11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	0.198396969283482
0.5	11	577	3-methyl-2-oxopentanoate	3mop[env]	0
0.5	11	577	4-aminobutanoate	4abut[env]	0.0536865243382718
0.5	11	577	acetate	ac[env]	2.67659171018857
0.5	11	577	l-alanine	ala_L[env]	0.0137773204759415
0.5	11	577	amylopectin; 900 repeat units	amylopect900[env]	0.0000160429503065955
0.5	11	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.0000478932522613753
0.5	11	577	l-argininium(1+)	arg_L[env]	0.0184811070101629
0.5	11	577	l-asparagine	asn_L[env]	0.00908556684395285
0.5	11	577	l-aspartate(1-)	asp_L[env]	0.00912718702771304
0.5	11	577	biotin	btn[env]	0.211223031428422
0.5	11	577	butyrate	but[env]	3.80748103154267
0.5	11	577	calcium(2+)	ca2[env]	21.1273975807204
0.5	11	577	cob(i)alamin	cbl1[env]	0.21117230392743
0.5	11	577	cellulose	cellul[env]	0.000510113224943812
0.5	11	577	l-cysteinylglycine	cgly[env]	0.0203435862908747
0.5	11	577	choline	chol[env]	0.0106057163608743
0.5	11	577	citrate	cit[env]	0.00401046786976898
