SimRun	TimePoint	niceLab	compound	value
10	577	(r)-pantothenate	pnto_R[env]	0.208331994568429
11	577	(r)-pantothenate	pnto_R[env]	0.208290935975077
12	577	(r)-pantothenate	pnto_R[env]	0.208240875659422
13	577	(r)-pantothenate	pnto_R[env]	0.208204619903385
14	577	(r)-pantothenate	pnto_R[env]	0.208593015245638
15	577	(r)-pantothenate	pnto_R[env]	0.208611483919215
16	577	(r)-pantothenate	pnto_R[env]	0.208634997493474
17	577	(r)-pantothenate	pnto_R[env]	0.208654933743508
18	577	(r)-pantothenate	pnto_R[env]	0.208687285188223
19	577	(r)-pantothenate	pnto_R[env]	0.20871995326684
1	577	(r)-pantothenate	pnto_R[env]	0.20857119826556
20	577	(r)-pantothenate	pnto_R[env]	0.208570882481733
21	577	(r)-pantothenate	pnto_R[env]	0.208572906860516
22	577	(r)-pantothenate	pnto_R[env]	0.208577961101775
23	577	(r)-pantothenate	pnto_R[env]	0.208583835620274
24	577	(r)-pantothenate	pnto_R[env]	0.208595556647088
25	577	(r)-pantothenate	pnto_R[env]	0.208609293762341
26	577	(r)-pantothenate	pnto_R[env]	0.208584219584551
27	577	(r)-pantothenate	pnto_R[env]	0.208596598005583
28	577	(r)-pantothenate	pnto_R[env]	0.208612708749616
29	577	(r)-pantothenate	pnto_R[env]	0.20862776791763
2	577	(r)-pantothenate	pnto_R[env]	0.208682696745869
30	577	(r)-pantothenate	pnto_R[env]	0.208654254434256
31	577	(r)-pantothenate	pnto_R[env]	0.208682927610129
32	577	(r)-pantothenate	pnto_R[env]	0.208327932379479
33	577	(r)-pantothenate	pnto_R[env]	0.208151270107749
34	577	(r)-pantothenate	pnto_R[env]	0.207960883297695
35	577	(r)-pantothenate	pnto_R[env]	0.207824488875348
36	577	(r)-pantothenate	pnto_R[env]	0.207641524701649
37	577	(r)-pantothenate	pnto_R[env]	0.207495066613814
38	577	(r)-pantothenate	pnto_R[env]	0.20863499348483
39	577	(r)-pantothenate	pnto_R[env]	0.208670861659554
3	577	(r)-pantothenate	pnto_R[env]	0.208746657272679
40	577	(r)-pantothenate	pnto_R[env]	0.208705285442822
41	577	(r)-pantothenate	pnto_R[env]	0.208729058743637
42	577	(r)-pantothenate	pnto_R[env]	0.208762159968858
43	577	(r)-pantothenate	pnto_R[env]	0.208792129510065
44	577	(r)-pantothenate	pnto_R[env]	0.208640055643788
45	577	(r)-pantothenate	pnto_R[env]	0.208675673905922
46	577	(r)-pantothenate	pnto_R[env]	0.208709042747426
47	577	(r)-pantothenate	pnto_R[env]	0.20873144894898
48	577	(r)-pantothenate	pnto_R[env]	0.208762212185355
49	577	(r)-pantothenate	pnto_R[env]	0.208789644420592
4	577	(r)-pantothenate	pnto_R[env]	0.208806638330435
50	577	(r)-pantothenate	pnto_R[env]	0.208564104430132
51	577	(r)-pantothenate	pnto_R[env]	0.208565775215292
52	577	(r)-pantothenate	pnto_R[env]	0.208572171298604
53	577	(r)-pantothenate	pnto_R[env]	0.208581488756587
54	577	(r)-pantothenate	pnto_R[env]	0.208601021149835
55	577	(r)-pantothenate	pnto_R[env]	0.208623994229436
56	577	(r)-pantothenate	pnto_R[env]	0.208626931468795
57	577	(r)-pantothenate	pnto_R[env]	0.208672527739312
58	577	(r)-pantothenate	pnto_R[env]	0.208727741247504
59	577	(r)-pantothenate	pnto_R[env]	0.208771986263347
5	577	(r)-pantothenate	pnto_R[env]	0.208847143255855
60	577	(r)-pantothenate	pnto_R[env]	0.208839971502154
61	577	(r)-pantothenate	pnto_R[env]	0.20890595051016
6	577	(r)-pantothenate	pnto_R[env]	0.208898503942244
7	577	(r)-pantothenate	pnto_R[env]	0.2089420308816
8	577	(r)-pantothenate	pnto_R[env]	0.208460720168782
9	577	(r)-pantothenate	pnto_R[env]	0.208394935833469
10	577	3-methyl-2-oxopentanoate	3mop[env]	0
11	577	3-methyl-2-oxopentanoate	3mop[env]	0
12	577	3-methyl-2-oxopentanoate	3mop[env]	0
13	577	3-methyl-2-oxopentanoate	3mop[env]	0
14	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000261061834762949
15	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000278468135767303
16	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000292064750788421
17	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000338849369974932
18	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000347517403198601
19	577	3-methyl-2-oxopentanoate	3mop[env]	0.00000000040151848781884
1	577	3-methyl-2-oxopentanoate	3mop[env]	0
20	577	3-methyl-2-oxopentanoate	3mop[env]	0
21	577	3-methyl-2-oxopentanoate	3mop[env]	0
22	577	3-methyl-2-oxopentanoate	3mop[env]	0
23	577	3-methyl-2-oxopentanoate	3mop[env]	0
24	577	3-methyl-2-oxopentanoate	3mop[env]	0
25	577	3-methyl-2-oxopentanoate	3mop[env]	0
26	577	3-methyl-2-oxopentanoate	3mop[env]	0
27	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000133146283882905
28	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000139857982944833
29	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000120007298210943
2	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000242185193116477
30	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000148172725478708
31	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000168056830424477
32	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000274426377700995
33	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000277762767571104
34	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000317630167006257
35	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000373772022048407
36	577	3-methyl-2-oxopentanoate	3mop[env]	0.000000000440904891054991
