noiseLevel	SimRun	TimePoint	Species	Code	value
8	1	577	BcaccaeAGORA	Bc	0.00284061197168448
8	2	577	BcaccaeAGORA	Bc	0.00297952767000061
8	3	577	BcaccaeAGORA	Bc	0.00237988002538307
8	4	577	BcaccaeAGORA	Bc	0.0027704348627344
8	5	577	BcaccaeAGORA	Bc	0.00225495604640638
8	6	577	BcaccaeAGORA	Bc	0.00213556773852166
8	7	577	BcaccaeAGORA	Bc	0.0017740009236453
8	8	577	BcaccaeAGORA	Bc	0.00240770201791226
8	9	577	BcaccaeAGORA	Bc	0.00247479668442752
8	10	577	BcaccaeAGORA	Bc	0.00253657919713173
8	11	577	BcaccaeAGORA	Bc	0.00207103305285663
8	12	577	BcaccaeAGORA	Bc	0.00169266925282788
8	13	577	BcaccaeAGORA	Bc	0.00160556617739595
8	14	577	BcaccaeAGORA	Bc	0.00281305004414662
8	15	577	BcaccaeAGORA	Bc	0.00297405572902389
8	16	577	BcaccaeAGORA	Bc	0.00290248428625777
8	17	577	BcaccaeAGORA	Bc	0.00228455716187359
8	18	577	BcaccaeAGORA	Bc	0.00260743061093129
8	19	577	BcaccaeAGORA	Bc	0.00198283574348789
8	20	577	BcaccaeAGORA	Bc	0.00229384606033465
8	21	577	BcaccaeAGORA	Bc	0.00309364747956393
8	22	577	BcaccaeAGORA	Bc	0.00251553938831356
8	23	577	BcaccaeAGORA	Bc	0.00233729426012039
8	24	577	BcaccaeAGORA	Bc	0.00218724747996048
8	25	577	BcaccaeAGORA	Bc	0.00201058560929218
8	26	577	BcaccaeAGORA	Bc	0.0027584356213117
8	27	577	BcaccaeAGORA	Bc	0.0027611096761607
8	28	577	BcaccaeAGORA	Bc	0.00266409754333945
8	29	577	BcaccaeAGORA	Bc	0.00265344749129365
8	30	577	BcaccaeAGORA	Bc	0.00247833010224367
8	31	577	BcaccaeAGORA	Bc	0.00189500659935508
8	32	577	BcaccaeAGORA	Bc	0.00251597721400921
8	33	577	BcaccaeAGORA	Bc	0.00231570839889214
8	34	577	BcaccaeAGORA	Bc	0.00198336066001218
8	35	577	BcaccaeAGORA	Bc	0.00196218145493894
8	36	577	BcaccaeAGORA	Bc	0.00186352328636551
8	37	577	BcaccaeAGORA	Bc	0.00146385270355591
8	38	577	BcaccaeAGORA	Bc	0.00289228287034032
8	39	577	BcaccaeAGORA	Bc	0.00242624061827794
8	40	577	BcaccaeAGORA	Bc	0.00197514992433902
8	41	577	BcaccaeAGORA	Bc	0.0021088011598136
8	42	577	BcaccaeAGORA	Bc	0.00175872281318818
8	43	577	BcaccaeAGORA	Bc	0.00140546962306643
8	44	577	BcaccaeAGORA	Bc	0.00259609325332913
8	45	577	BcaccaeAGORA	Bc	0.00247560245202085
8	46	577	BcaccaeAGORA	Bc	0.0025006151406848
8	47	577	BcaccaeAGORA	Bc	0.00224242349542106
8	48	577	BcaccaeAGORA	Bc	0.001799253480467
8	49	577	BcaccaeAGORA	Bc	0.00174670017075099
8	50	577	BcaccaeAGORA	Bc	0.00243265724063317
8	51	577	BcaccaeAGORA	Bc	0.00269860915603966
8	52	577	BcaccaeAGORA	Bc	0.00214026335348753
8	53	577	BcaccaeAGORA	Bc	0.00188103988357779
8	54	577	BcaccaeAGORA	Bc	0.00149539857125791
8	55	577	BcaccaeAGORA	Bc	0.00141773949019025
8	56	577	BcaccaeAGORA	Bc	0.00551583724939371
8	57	577	BcaccaeAGORA	Bc	0.00644989731675562
8	58	577	BcaccaeAGORA	Bc	0.00944262186389761
8	59	577	BcaccaeAGORA	Bc	0.00915776420193692
8	60	577	BcaccaeAGORA	Bc	0.0143384569705435
8	61	577	BcaccaeAGORA	Bc	0.0141058546355087
8	1	577	BhydrogenotrophicaAGORA	Bh	0.00818214742847462
8	2	577	BhydrogenotrophicaAGORA	Bh	0.00662969640633822
8	3	577	BhydrogenotrophicaAGORA	Bh	0.00675242079805098
8	4	577	BhydrogenotrophicaAGORA	Bh	0.00615846765388117
8	5	577	BhydrogenotrophicaAGORA	Bh	0.00566028674769139
8	6	577	BhydrogenotrophicaAGORA	Bh	0.00517919884126316
8	7	577	BhydrogenotrophicaAGORA	Bh	0.00455896454550229
8	8	577	BhydrogenotrophicaAGORA	Bh	0.0079771917186045
8	9	577	BhydrogenotrophicaAGORA	Bh	0.00731586590064743
8	10	577	BhydrogenotrophicaAGORA	Bh	0.00604997856508326
8	11	577	BhydrogenotrophicaAGORA	Bh	0.0072272854487291
8	12	577	BhydrogenotrophicaAGORA	Bh	0.0066084741564257
8	13	577	BhydrogenotrophicaAGORA	Bh	0.00605211688070446
8	14	577	BhydrogenotrophicaAGORA	Bh	0.0081990909677296
8	15	577	BhydrogenotrophicaAGORA	Bh	0.006698139451844
8	16	577	BhydrogenotrophicaAGORA	Bh	0.00676216888222315
8	17	577	BhydrogenotrophicaAGORA	Bh	0.00595463023774468
8	18	577	BhydrogenotrophicaAGORA	Bh	0.00637723009949183
8	19	577	BhydrogenotrophicaAGORA	Bh	0.00530222861553005
8	20	577	BhydrogenotrophicaAGORA	Bh	0.0134921935553928
8	21	577	BhydrogenotrophicaAGORA	Bh	0.015988858093092
8	22	577	BhydrogenotrophicaAGORA	Bh	0.0171885588239932
8	23	577	BhydrogenotrophicaAGORA	Bh	0.0220988510204548
8	24	577	BhydrogenotrophicaAGORA	Bh	0.0265949042416525
8	25	577	BhydrogenotrophicaAGORA	Bh	0.029934608528979
8	26	577	BhydrogenotrophicaAGORA	Bh	0.00713620970294485
8	27	577	BhydrogenotrophicaAGORA	Bh	0.0060432990040134
8	28	577	BhydrogenotrophicaAGORA	Bh	0.00645138954335664
8	29	577	BhydrogenotrophicaAGORA	Bh	0.00555383438390334
8	30	577	BhydrogenotrophicaAGORA	Bh	0.00456468589513529
8	31	577	BhydrogenotrophicaAGORA	Bh	0.00449483376810743
8	32	577	BhydrogenotrophicaAGORA	Bh	0.00678712677020252
8	33	577	BhydrogenotrophicaAGORA	Bh	0.0068368865666748
8	34	577	BhydrogenotrophicaAGORA	Bh	0.0053011613034511
8	35	577	BhydrogenotrophicaAGORA	Bh	0.00469518946683302
8	36	577	BhydrogenotrophicaAGORA	Bh	0.00471832144462804
8	37	577	BhydrogenotrophicaAGORA	Bh	0.00325500808170471
8	38	577	BhydrogenotrophicaAGORA	Bh	0.00633067988209208
8	39	577	BhydrogenotrophicaAGORA	Bh	0.00556918956246425
8	40	577	BhydrogenotrophicaAGORA	Bh	0.00511485844636336
8	41	577	BhydrogenotrophicaAGORA	Bh	0.00432345423981548
8	42	577	BhydrogenotrophicaAGORA	Bh	0.00349920307660409
8	43	577	BhydrogenotrophicaAGORA	Bh	0.00340638444592574
8	44	577	BhydrogenotrophicaAGORA	Bh	0.00732628033189518
