SimRun	TimePoint	Species	Code	value
1	577	BcaccaeAGORA	Bc	0.0028840237829754
2	577	BcaccaeAGORA	Bc	0.00271318966139675
3	577	BcaccaeAGORA	Bc	0.00257747428604778
4	577	BcaccaeAGORA	Bc	0.00240579837021947
5	577	BcaccaeAGORA	Bc	0.00226047788085563
6	577	BcaccaeAGORA	Bc	0.00203023552269227
7	577	BcaccaeAGORA	Bc	0.00180192015641342
8	577	BcaccaeAGORA	Bc	0.00259841706921818
9	577	BcaccaeAGORA	Bc	0.00237725332627861
10	577	BcaccaeAGORA	Bc	0.00211899947524845
11	577	BcaccaeAGORA	Bc	0.00191834876264868
12	577	BcaccaeAGORA	Bc	0.0016235495508609
13	577	BcaccaeAGORA	Bc	0.00135769411241766
14	577	BcaccaeAGORA	Bc	0.0027897609173438
15	577	BcaccaeAGORA	Bc	0.00270506927680647
16	577	BcaccaeAGORA	Bc	0.00259373853395103
17	577	BcaccaeAGORA	Bc	0.00249784050946133
18	577	BcaccaeAGORA	Bc	0.00234048169679614
19	577	BcaccaeAGORA	Bc	0.0021792622682824
20	577	BcaccaeAGORA	Bc	0.00277201761983801
21	577	BcaccaeAGORA	Bc	0.00266908783338989
22	577	BcaccaeAGORA	Bc	0.00253212309775014
23	577	BcaccaeAGORA	Bc	0.00241383994218757
24	577	BcaccaeAGORA	Bc	0.00221943424288352
25	577	BcaccaeAGORA	Bc	0.00202173774579771
26	577	BcaccaeAGORA	Bc	0.00270681421814546
27	577	BcaccaeAGORA	Bc	0.00256312231883623
28	577	BcaccaeAGORA	Bc	0.00238448848866522
29	577	BcaccaeAGORA	Bc	0.00223806399598806
30	577	BcaccaeAGORA	Bc	0.0020101663768611
31	577	BcaccaeAGORA	Bc	0.00178966371886246
32	577	BcaccaeAGORA	Bc	0.00259393428910944
33	577	BcaccaeAGORA	Bc	0.00236646111292757
34	577	BcaccaeAGORA	Bc	0.0021005320370469
35	577	BcaccaeAGORA	Bc	0.00189599667742001
36	577	BcaccaeAGORA	Bc	0.00159795925239763
37	577	BcaccaeAGORA	Bc	0.00133307612900728
38	577	BcaccaeAGORA	Bc	0.00256285500531251
39	577	BcaccaeAGORA	Bc	0.00232929207366125
40	577	BcaccaeAGORA	Bc	0.00206866572037614
41	577	BcaccaeAGORA	Bc	0.00187331992078691
42	577	BcaccaeAGORA	Bc	0.00159407757622281
43	577	BcaccaeAGORA	Bc	0.00134782987324196
44	577	BcaccaeAGORA	Bc	0.00267790748085917
45	577	BcaccaeAGORA	Bc	0.00252272920990935
46	577	BcaccaeAGORA	Bc	0.00233459593215459
47	577	BcaccaeAGORA	Bc	0.00217943172275864
48	577	BcaccaeAGORA	Bc	0.00193388261189087
49	577	BcaccaeAGORA	Bc	0.00169245998810531
50	577	BcaccaeAGORA	Bc	0.00252023102867415
51	577	BcaccaeAGORA	Bc	0.002281587
52	577	BcaccaeAGORA	Bc	0.002021625
53	577	BcaccaeAGORA	Bc	0.001826975
54	577	BcaccaeAGORA	Bc	0.001546799
55	577	BcaccaeAGORA	Bc	0.001298212
56	577	BcaccaeAGORA	Bc	0.004998625
57	577	BcaccaeAGORA	Bc	0.006640886
58	577	BcaccaeAGORA	Bc	0.008530505
59	577	BcaccaeAGORA	Bc	0.009968552
60	577	BcaccaeAGORA	Bc	0.01202507
61	577	BcaccaeAGORA	Bc	0.01381764
1	577	BhydrogenotrophicaAGORA	Bh	0.007312363
2	577	BhydrogenotrophicaAGORA	Bh	0.006945521
3	577	BhydrogenotrophicaAGORA	Bh	0.006633593
4	577	BhydrogenotrophicaAGORA	Bh	0.00624864
5	577	BhydrogenotrophicaAGORA	Bh	0.00592467
6	577	BhydrogenotrophicaAGORA	Bh	0.005393002
7	577	BhydrogenotrophicaAGORA	Bh	0.00486074
8	577	BhydrogenotrophicaAGORA	Bh	0.007324521
9	577	BhydrogenotrophicaAGORA	Bh	0.007308021
10	577	BhydrogenotrophicaAGORA	Bh	0.007263621
11	577	BhydrogenotrophicaAGORA	Bh	0.007207856
12	577	BhydrogenotrophicaAGORA	Bh	0.007090531
13	577	BhydrogenotrophicaAGORA	Bh	0.006951937
14	577	BhydrogenotrophicaAGORA	Bh	0.007034983
15	577	BhydrogenotrophicaAGORA	Bh	0.006800643
16	577	BhydrogenotrophicaAGORA	Bh	0.006505117
17	577	BhydrogenotrophicaAGORA	Bh	0.00625465
18	577	BhydrogenotrophicaAGORA	Bh	0.005850567
19	577	BhydrogenotrophicaAGORA	Bh	0.005450489
20	577	BhydrogenotrophicaAGORA	Bh	0.01207749
21	577	BhydrogenotrophicaAGORA	Bh	0.01553999
22	577	BhydrogenotrophicaAGORA	Bh	0.01931648
23	577	BhydrogenotrophicaAGORA	Bh	0.02206733
24	577	BhydrogenotrophicaAGORA	Bh	0.02585768
25	577	BhydrogenotrophicaAGORA	Bh	0.0290423
26	577	BhydrogenotrophicaAGORA	Bh	0.006662721
27	577	BhydrogenotrophicaAGORA	Bh	0.00619511
28	577	BhydrogenotrophicaAGORA	Bh	0.005659815
29	577	BhydrogenotrophicaAGORA	Bh	0.005244367
30	577	BhydrogenotrophicaAGORA	Bh	0.004639331
31	577	BhydrogenotrophicaAGORA	Bh	0.004090179
32	577	BhydrogenotrophicaAGORA	Bh	0.006603688
33	577	BhydrogenotrophicaAGORA	Bh	0.006078567
34	577	BhydrogenotrophicaAGORA	Bh	0.005454492
35	577	BhydrogenotrophicaAGORA	Bh	0.004988959
36	577	BhydrogenotrophicaAGORA	Bh	0.004305297
37	577	BhydrogenotrophicaAGORA	Bh	0.003703002
38	577	BhydrogenotrophicaAGORA	Bh	0.006235538
39	577	BhydrogenotrophicaAGORA	Bh	0.005528235
40	577	BhydrogenotrophicaAGORA	Bh	0.004792601
41	577	BhydrogenotrophicaAGORA	Bh	0.004271335
42	577	BhydrogenotrophicaAGORA	Bh	0.003563816
43	577	BhydrogenotrophicaAGORA	Bh	0.002968612
44	577	BhydrogenotrophicaAGORA	Bh	0.006327549
45	577	BhydrogenotrophicaAGORA	Bh	0.00571138
46	577	BhydrogenotrophicaAGORA	Bh	0.005067921
47	577	BhydrogenotrophicaAGORA	Bh	0.004595596
48	577	BhydrogenotrophicaAGORA	Bh	0.003919705
49	577	BhydrogenotrophicaAGORA	Bh	0.003320905
50	577	BhydrogenotrophicaAGORA	Bh	0.006932825
51	577	BhydrogenotrophicaAGORA	Bh	0.00654743
52	577	BhydrogenotrophicaAGORA	Bh	0.006068479
53	577	BhydrogenotrophicaAGORA	Bh	0.005668733
54	577	BhydrogenotrophicaAGORA	Bh	0.005038439
55	577	BhydrogenotrophicaAGORA	Bh	0.004434249
56	577	BhydrogenotrophicaAGORA	Bh	0.007087305
57	577	BhydrogenotrophicaAGORA	Bh	0.006891223
58	577	BhydrogenotrophicaAGORA	Bh	0.006627112
59	577	BhydrogenotrophicaAGORA	Bh	0.006410344
