OTU	LBNL_CC002_M_18	LBNL_CC004_F_23	LBNL_CC004_M_24	LBNL_CC008_F_21	LBNL_CC008_M_22	LBNL_CC010_F_15	LBNL_CC010_M_16	LBNL_CC011_F_25	LBNL_CC011_M_26	LBNL_CC013_F_45	LBNL_CC013_M_46	LBNL_CC026_F_53	LBNL_CC028_F_31	LBNL_CC030_F_43	LBNL_CC030_M_44	LBNL_CC032_F_29	LBNL_CC032_M_30	LBNL_CC033_F_33	LBNL_CC033_M_34	LBNL_CC036_F_35	LBNL_CC036_M_36	LBNL_CC037_F_13	LBNL_CC037_M_14	LBNL_CC038_F_47	LBNL_CC038_M_48	LBNL_CC039_F_11	LBNL_CC050_F_41	LBNL_CC051_F_1	LBNL_CC051_M_2	LBNL_CC052_F_39	LBNL_CC055_M_6	LBNL_CC057_F_49	LBNL_CC061_F_51	LBNL_CC061_M_52	LBNL_CC065_F_9	LBNL_CC065_M_10	UNC_CC002_F_4	UNC_CC002_M_3	UNC_CC004_F_6	UNC_CC004_M_5	UNC_CC008_F_8	UNC_CC008_M_7	UNC_CC010_M_9	UNC_CC011_F_12	UNC_CC011_M_11	UNC_CC013_M_13	UNC_CC016_F_16	UNC_CC016_M_15	UNC_CC021_F_20	UNC_CC021_M_19	UNC_CC026_F_22	UNC_CC026_M_21	UNC_CC028_F_24	UNC_CC028_M_23	UNC_CC030_F_26	UNC_CC030_M_25	UNC_CC032_F_28	UNC_CC032_M_27	UNC_CC033_F_30	UNC_CC033_M_29	UNC_CC036_F_32	UNC_CC036_M_31	UNC_CC037_F_34	UNC_CC037_M_33	UNC_CC038_F_36	UNC_CC038_M_35	UNC_CC039_M_37	UNC_CC050_F_46	UNC_CC050_M_45	UNC_CC051_F_48	UNC_CC051_M_47	UNC_CC052_F_50	UNC_CC052_M_49	UNC_CC061_F_58	UNC_CC061_M_57	UNC_CC065_F_60	UNC_CC065_M_59
327486	3	4	0	4	0	0	3	0	0	13	1	3	0	3	0	0	0	1	11	8	4	0	3	6	0	12	1	8	6	0	0	0	129	2	1	0	0	8	4	1	226	0	13	1	0	0	0	0	0	1	6.33333333333333	21	0	0	18	0	0	0	0	0	2	0.5	17	7.5	0.5	46	21	8	14	4	14	108	19	1	49	64	71
346185	56	24	93	46	73	20	245	121	82	40	5	15	10	57	39	121	5	42	1	21	51	86	40	14	0	92	16	22	59	169	0	7	7	20	17	37	8	9	11	24	4	0	27	0	0	0	6	0	3	1	58.6666666666667	5	0	2	0	0.5	0	3.5	2	0	0	1.5	7.5	0.5	1.5	4	13	3	2	1	2	11	3	27	0	16	20
276484	202	37	236	85	121	49	112	373	149	197	13	6	26	75	37	189	2	79	1	14	96	219	85	28	2	237	9	217.5	198	0	174	4	3	24	167	189	0	1	46	23	0	0	71	0	0	0	5	0	0	0	6.33333333333333	0	0	0	0	0	0	3	0	0	0	1	6	3.5	8	52	7.5	4.5	0	11	10	0	0	0	0	27	12
186028	16	1	2	3	8	8	15	8	5	2	1	1	5	7	1	6	4	0	10	11	4	4	9	1	0	1	1	15	18.5	0	23	11	4	2	14	9	2	22	3	1	11	1	13	13	2	6	8	27	10	1	2.66666666666667	4.5	4	8	40	8.5	4.5	4	12	9	2.5	3	9	4.5	3	9	1	12.5	12	21	11.5	2	1	10	23	11	15
268720	0	1	2	1	1	1	0	1	1	1	0	4	0	3	0	0	0	0	0	0	0	1	0	2	3	0	1	0	0.5	1	0	0	0	0	1	0	2	0	2	0	1	0	1	0	0	0	3	8	1	0	1.33333333333333	0.5	0	3	1	0	0.5	0.5	0	5	1	0	3.5	2.5	1	1	1.5	2.5	1	0	0	12	2	0	1	0	1
421792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	15	1	49	0	1	0	0	0	3	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	13	1	0	6	2	0	0	0	8	16	0.666666666666667	1	2	6	18	34	0	0.5	0	0	30	3.5	0	0	1.5	7	0.5	86	200	0	0.5	1	10	47	209	6	1
261265	21	13	10	16	14	12	69	7	18	23	0	10	30	21	8	6	7	18	25	0	14	19	6	4	0	42	11	11	1.5	37	10	7	10	14	9	7	4	0	23	25	34	0	15	0	0	0	4	0	0	1	2.66666666666667	1	0	0	0	0	0	0	0	3	0	1.5	7.5	5.5	0.5	8	2	0	0	0	0	2	0	0	0	2	13
342105	2	0	4	1	5	1	0	3	2	2	2	0	4	2	5	3	0	2	0	1	4	4	1	3	3	4	1	1	1.5	1	7	0	7	2	0	3	1	0	1	1	1	0	1	0	0	1	0	0	2	0	2	0	0	0	0	1	4.5	1	0	0	0.5	0.5	5	6.5	0.5	1	2	1.5	1	1	0.5	22	21	1	0	4	2
2120779	26	58	17	51	21	37	88	4	26	42	57	56	3	53	17	7	7	23	5	0	42	16	43	19	1	38	74	7.5	21	119	11	41	24	45	19	21	103	2	39	58	19	0	204	6	1	0	25	10	8	14	24.3333333333333	16	45	36	0	0	0	1.5	17	56.5	0	7	22.5	17.5	6	62	77.5	13	37	3	14.5	2	5	2	3	0	1
270391	1	3	3	6	1	3	0	0	3	1	9	7	5	7	2	6	12	6	0	0	1	3	3	14	0	0	13	0.5	0	5	0	19	0	3	2	3	14	0	14	11	8	1	0	106	162	42	86	189	53	194	7	16	0	106	33	160	45	69	0	0	168	406.5	37.5	59	62.5	113	1	160.5	106	0	0.5	5	18	6	38	0	0
