databaseID	AGORA_ID	CopyNum
GCF_000003135.1_ASM313v1	Bifidobacterium_longum_longum_ATCC_55813	1
GCF_000003925.1_ASM392v1	Bacillus_mycoides_DSM_2048	1
GCF_000005825.2_ASM582v2	Bacillus_pseudofirmus_OF4	7
GCF_000005845.2_ASM584v2	Escherichia_coli_str_K_12_substr_MG1655	7
GCF_000007005.1_ASM700v1	Sulfolobus_solfataricus_P2	1
GCF_000007485.1_ASM748v1	Tropheryma_whipplei_str_Twist	1
GCF_000007525.1_ASM752v1	Bifidobacterium_longum_NCC2705	4
GCF_000007585.1_ASM758v1	Porphyromonas_gingivalis_W83	4
GCF_000007645.1_ASM764v1	Staphylococcus_epidermidis_ATCC_12228	5
GCF_000007785.1_ASM778v1	Enterococcus_faecalis_V583	4
GCF_000008065.1_ASM806v1	Lactobacillus_johnsonii_NCC_533	6
GCF_000008285.1_ASM828v1	Listeria_monocytogenes_4b_F2365	6
GCF_000008345.1_ASM834v1	Propionibacterium_acnes_KPA171202	3
GCF_000008525.1_ASM852v1	Helicobacter_pylori_26695	2
GCF_000008865.1_ASM886v1	Escherichia_coli_O157_H7_str_Sakai	7
GCF_000008925.1_ASM892v1	Lactobacillus_salivarius_salivarius_UCC118	7
GCF_000008945.1_ASM894v1	Bifidobacterium_longum_DJO10A	4
GCF_000009085.1_ASM908v1	Campylobacter_jejuni_jejuni_NCTC_11168	3
GCF_000009345.1_ASM934v1	Yersinia_enterocolitica_subsp_enterocolitica_8081	NA
GCF_000009545.1_ASM954v1	Streptococcus_uberis_0140J	5
GCF_000009825.1_ASM982v1	Bacillus_clausii_KSM_K16	7
GCF_000009865.1_ASM986v1	Staphylococcus_haemolyticus_JCSC1435	5
GCF_000009925.1_ASM992v1	Bacteroides_fragilis_YCH46	6
GCF_000010125.1_ASM1012v1	Staphylococcus_saprophyticus_subsp_saprophyticus_ATCC_15305	6
GCF_000010145.1_ASM1014v1	Lactobacillus_fermentum_IFO_3956	5
GCF_000010165.1_ASM1016v1	Brevibacillus_brevis_NBRC_100599	15
GCF_000010185.1_ASM1018v1	Finegoldia_magna_ATCC_29328	4
GCF_000010285.1_ASM1028v1	Kocuria_rhizophila_DC2201	3
GCF_000010385.1_ASM1038v1	Escherichia_coli_SE11	7
GCF_000010425.1_ASM1042v1	Bifidobacterium_adolescentis_ATCC_15703	5
GCF_000011025.1_ASM1102v1	Rothia_mucilaginosa_DY_18	3
GCF_000011045.1_ASM1104v1	Lactobacillus_rhamnosus_GG_ATCC_53103	5
GCF_000011065.1_ASM1106v1	Bacteroides_thetaiotaomicron_VPI_5482	5
GCF_000011145.1_ASM1114v1	Bacillus_halodurans_C_125	8
GCF_000011825.1_ASM1182v1	Streptococcus_thermophilus_LMG_18311	6
GCF_000011985.1_ASM1198v1	Lactobacillus_acidophilus_NCFM	4
GCF_000012545.1_ASM1254v1	Methanosphaera_stadtmanae_DSM_3091	4
GCF_000012705.1_ASM1270v1	Streptococcus_agalactiae_A909	7
GCF_000012825.1_ASM1282v1	Bacteroides_vulgatus_ATCC_8482	7
GCF_000012845.1_ASM1284v1	Parabacteroides_distasonis_ATCC_8503	7
GCF_000013265.1_ASM1326v1	Escherichia_coli_UTI89_UPEC	7
GCF_000013285.1_ASM1328v1	Clostridium_perfringens_ATCC_13124	8
GCF_000014025.1_ASM1402v1	Arcobacter_butzleri_RM4018	5
GCF_000014205.1_ASM1420v1	Streptococcus_sanguinis_SK36	4
GCF_000014405.1_ASM1440v1	Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA_365	9
GCF_000014425.1_ASM1442v1	Lactobacillus_gasseri_ATCC_33323	6
GCF_000014465.1_ASM1446v1	Lactobacillus_brevis_ATCC_367	5
GCF_000014505.1_ASM1450v1	Pediococcus_pentosaceus_ATCC_25745	5
GCF_000014525.1_ASM1452v1	Lactobacillus_casei_ATCC_334	5
GCF_000014805.1_ASM1480v1	Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	10
GCF_000015085.1_ASM1508v1	Campylobacter_fetus_subsp_fetus_82_40	3
GCF_000015385.1_ASM1538v1	Lactobacillus_helveticus_DPC_4571	4
GCF_000015885.1_ASM1588v1	Actinobacillus_pleuropneumoniae_L20	3
GCF_000016525.1_ASM1652v1	Methanobrevibacter_smithii_ATCC_35061	2
GCF_000016545.1_ASM1654v1	Enterococcus_saccharolyticus_DSM8903	3
GCF_000016965.1_ASM1696v1	Clostridium_beijerinckii_NCIMB_8052	14
GCF_000017005.1_ASM1700v1	Streptococcus_gordonii_str_Challis_substr_CH1	4
GCF_000017025.1_ASM1702v1	Clostridium_botulinum_A_str_ATCC_19397	8
GCF_000017045.1_ASM1704v1	Clostridium_botulinum_A_str_Hall	8
GCF_000017405.1_ASM1740v1	Ochrobactrum_anthropi_ATCC_49188	4
GCF_000017465.2_ASM1746v2	Campylobacter_curvus_525_92	3
GCF_000017585.1_ASM1758v1	Campylobacter_hominis_ATCC_BAA_381	3
GCF_000017665.1_ASM1766v1	Cronobacter_sakazakii_ATCC_BAA_894	7
GCF_000017725.2_ASM1772v2	Campylobacter_concisus_13826	3
GCF_000018045.1_ASM1804v1	Citrobacter_koseri_ATCC_BAA_895	7
GCF_000018665.1_ASM1866v1	Delftia_acidovorans_SPH_1	5
GCF_000019205.1_ASM1920v1	Campylobacter_lari_RM2100	3
GCF_000019465.1_ASM1946v1	Yersinia_pseudotuberculosis_YPIII	7
GCF_000019725.1_ASM1972v1	Methylobacterium_radiotolerans_JCM_2831	6
GCF_000019945.1_ASM1994v1	Methylobacterium_populi_BJ001	5
GCF_000020225.1_ASM2022v1	Akkermansia_muciniphila_ATCC_BAA_835	3
GCF_000020605.1_ASM2060v1	Eubacterium_rectale_ATCC_33656	5
GCF_000021025.1_ASM2102v1	Laribacter_hongkongensis_HLHK9	7
GCF_000021225.1_ASM2122v1	Bacillus_cereus_AH187_F4810_72	NA
GCF_000021305.1_ASM2130v1	Bacillus_cereus_G9842	13
GCF_000021425.1_ASM2142v1	Bifidobacterium_animalis_lactis_AD011	2
GCF_000022705.1_ASM2270v1	Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219	4
GCF_000022905.1_ASM2290v1	Corynebacterium_aurimucosum_ATCC_700975	3
GCF_000022985.1_ASM2298v1	Aggregatibacter_aphrophilus_NJ8700	6
GCF_000023085.1_ASM2308v1	Lactobacillus_plantarum_JDM1	5
GCF_000023145.1_ASM2314v1	Corynebacterium_kroppenstedtii_DSM_44385	3
GCF_000023205.1_ASM2320v1	Micrococcus_luteus_NCTC_2665	2
GCF_000023285.1_ASM2328v1	Capnocytophaga_ochracea_DSM_7271	4
GCF_000023845.1_ASM2384v1	Cryptobacterium_curtum_DSM_15641	3
