NCBI_ID	RefSeq_biosample	Organism	GenomeID	RefSeq_assembly_accession	RefSeq_bioproject	RefSeq_ftp_path	# assembly_accession	bioproject	ftp_path
NA	NA	Melainabacterium MEL.A1	NA	NA	NA	NA	NA	NA	NA
1274	SAMN02902417	Dermacoccus nishinomiyaensis	32497	GCF_000725405.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/405/GCF_000725405.1_ASM72540v1	GCA_000725405.1	PRJNA253981	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/405/GCA_000725405.1_ASM72540v1
1274	SAMN06093559	Dermacoccus nishinomiyaensis	32497	GCF_001908935.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/935/GCF_001908935.1_ASM190893v1	GCA_001908935.1	PRJNA355843	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/908/935/GCA_001908935.1_ASM190893v1
1274	SAMN06093813	Dermacoccus nishinomiyaensis	32497	GCF_001908945.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/945/GCF_001908945.1_ASM190894v1	GCA_001908945.1	PRJNA355848	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/908/945/GCA_001908945.1_ASM190894v1
1322	NA	Blautia hansenii VPI C7-24, DSM 20583	2049	NA	NA	NA	NA	NA	NA
1338	SAMD00031898	Staphylococcus intermedius ATCC 27335	1878	GCF_002356055.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/055/GCF_002356055.1_ASM235605v1	GCA_002356055.1	PRJDB3973	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/055/GCA_002356055.1_ASM235605v1
1338	SAMN03197768	Staphylococcus intermedius ATCC 27335	1878	GCF_001073405.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/405/GCF_001073405.1_ASM107340v1	GCA_001073405.1	PRJNA267549	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/073/405/GCA_001073405.1_ASM107340v1
1338	SAMN03197832	Staphylococcus intermedius ATCC 27335	1878	GCF_001073635.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/073/635/GCF_001073635.1_ASM107363v1	GCA_001073635.1	PRJNA267549	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/073/635/GCA_001073635.1_ASM107363v1
1338	SAMN04875570	Staphylococcus intermedius ATCC 27335	1878	GCF_002073355.2	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/355/GCF_002073355.2_ASM207335v2	GCA_002073355.2	PRJNA231221	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/355/GCA_002073355.2_ASM207335v2
1338	SAMN08324741	Staphylococcus intermedius ATCC 27335	1878	GCF_002879585.1	PRJNA224116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/879/585/GCF_002879585.1_ASM287958v1	GCA_002879585.1	PRJNA428930	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/879/585/GCA_002879585.1_ASM287958v1
